Will / Jorge - Pair Programming 
Wed, Aug 7, 2024

0:04 - Jorge Lewis So yeah, so let's do the, what do I wanna work on today? The signup stuff?
1:00:55 - Will Vincent Parrone Because the error happened even though...

1:00:58 - Jorge Lewis Wait, can I see your error again?

1:01:02 - Will Vincent Parrone Wait.

1:01:07 - Will Vincent Parrone Here we go.

1:01:16 - Will Vincent Parrone I honestly think someone's hacking my phone, right? My AA server right now.

1:01:22 - Will Vincent Parrone Here you go, transfer with what error?

1:01:27 - Jorge Lewis Look at- look at- go down, go down.

1:01:32 - Jorge Lewis So, look at, um... Okay, okay. Look, read the error. Transfer failed with one error. Unexpected character. And it's, uh...

1:01:49 - Will Vincent Parrone Let'S see.

1:01:49 - Jorge Lewis Superbase TS 1.0. But it's weird because there's nothing wrong there.

1:02:00 - Will Vincent Parrone Or maybe there is. I don't know.

1:02:03 - Jorge Lewis No, I'm looking at it on my thing. There's not.

1:02:25 - Jorge Lewis I'm with Will right now in a pair programming session. If you don't mind waiting like 15 minutes.

1:02:38 - Will Vincent Parrone Okay, fine.

1:02:39 - Unidentified Speaker Okay, thanks.

1:02:43 - Will Vincent Parrone Okay, what's What's my super base looking like then?

1:02:51 - Jorge Lewis No, no, it's in types. It's in types and then super base. So, yeah, there's nothing wrong with it.

1:02:59 - Will Vincent Parrone Hmm. Okay. I'll try to restart it again then.

1:03:05 - Jorge Lewis It's a problem with byte.yes.build.

1:03:12 - Will Vincent Parrone Dang.

1:03:17 - Will Vincent Parrone Wait, what's htop saying? Is this a Stack Overflow? No, this is not a Stack Overflow problem.

1:03:27 - Will Vincent Parrone How are my other sites?

1:03:37 - Will Vincent Parrone Yep, this is an isolated event.

1:03:47 - Will Vincent Parrone This is beautiful. I love this.

1:03:49 - Unidentified Speaker Okay.

1:04:05 - Will Vincent Parrone Web slash super base.

1:04:34 - Jorge Lewis Actually, I think I might know what happened.

1:04:39 - Jorge Lewis I think... I might have...

1:04:43 - Jorge Lewis Say... Huh...

1:04:47 - Jorge Lewis Let me just...

1:04:50 - Jorge Lewis No...

1:04:54 - Jorge Lewis Let me actually just delete it and bring it back.

1:05:02 - Jorge Lewis Because what it looks like is something related to the binary, or at least the file of the types doesn't look too happy.

1:05:13 - Will Vincent Parrone In which case, maybe a fresh install would work, fresh pnpm install.

1:05:20 - Jorge Lewis A fresh PMPM, at least I'm doing the gen types call first, which did not work. So I guess, yeah, fresh PMPM. But what's, what broke it?

1:05:40 - Will Vincent Parrone It's probably related to the done value. Something screwed the server up with that. Now let's try PMPM model.

1:05:50 - Will Vincent Parrone Then let's try it again.

1:06:26 - Will Vincent Parrone Yeah, I think it's working now. Oh no, it's not.

1:06:34 - Will Vincent Parrone This has gotten a bit more interesting.

1:06:42 - Will Vincent Parrone Put in a Read.AI column. Transform failed due to an error. Error when evaluating SSR module.

1:06:48 - Unidentified Speaker Hmm.

1:06:54 - Will Vincent Parrone Interesting. Evaluation.

1:07:05 - Will Vincent Parrone I need to use another PC for this.

1:07:10 - Will Vincent Parrone so Okay, I have no idea what's happening Okay.

1:09:48 - Jorge Lewis What a strange issue.

1:09:50 - Will Vincent Parrone Yeah.

1:09:53 - Will Vincent Parrone How about we settle for...

1:09:57 - Jorge Lewis Actually?

1:09:58 - Jorge Lewis Go on.

1:09:59 - Jorge Lewis Huh. It was running a second ago, right? Like...

1:10:03 - Will Vincent Parrone Yeah.

1:10:06 - Jorge Lewis Okay. I have an inkling into what it might be. Nope, wasn't it? Yeah, nope.

1:10:17 - Jorge Lewis No, it doesn't work on mine either. Wait, what? So it's something to do with this new typefile that CibaBase has given us.

1:10:31 - Jorge Lewis That's kind of broken something.

1:10:34 - Will Vincent Parrone Oh, at least that's a clue. That's a clue.

1:10:39 - Jorge Lewis Although it's weirder is that it was working just like a second ago we didn't make any changes on it or we made like a change that I have removed and it's so wait what if we're all back into another

1:11:01 - Will Vincent Parrone what if you're all back to the previous commit and then just do a git div.

1:11:10 - Jorge Lewis Try that.

1:11:13 - Will Vincent Parrone Yeah, git div previews.

1:11:32 - Will Vincent Parrone Let's see.

1:11:36 - Will Vincent Parrone git div next, git div head with head thing.

1:12:07 - Will Vincent Parrone Yeah, but like, I want a good comparison.

1:12:40 - Will Vincent Parrone No, the only thing different from the previous commit is the done.

1:12:44 - Unidentified Speaker Sorry?

1:12:48 - Will Vincent Parrone The only thing different from the previous commit is the inclusion of done.

1:12:51 - Jorge Lewis But like, I shouldn't do anything.

1:13:04 - Jorge Lewis Try deleting it, I guess? Maybe we're like, maybe just, maybe we're just tripping and it's like, just doesn't want to work. It's like, you know, guys.

1:13:15 - Will Vincent Parrone Wait, let me try it. Okay.

1:13:39 - Jorge Lewis No, I deleted done and it doesn't work.

1:13:43 - Jorge Lewis It's not that, huh?

1:13:45 - Jorge Lewis It's not that, it's like, it's just so weird.

1:13:52 - Will Vincent Parrone Wait, maybe I'll do a blind research of which commit is working.

1:14:00 - Jorge Lewis But what it looks like, so the error also says, error when evaluating SSR module, the server file for the home page but I ain't got a clue bro all right well into your trusty hands.

1:14:39 - Will Vincent Parrone Oh, by the way, do we have the scope already for the Read.AI tool? A what? A scope.

1:14:46 - Jorge Lewis Scope?

1:14:47 - Will Vincent Parrone Yeah, like inclusion of the to-do, like the backlogs.

1:14:53 - Jorge Lewis No, no, no. I mean, it's just in my head.

1:14:56 - Jorge Lewis Okay.

1:14:57 - Jorge Lewis I use this on a daily basis for reaching out to people for sales.

1:15:03 - Jorge Lewis Yeah, there's quite a few things that I would like, but they're all kind of nice to have. It's not really too important. Okay, okay.

1:15:13 - Will Vincent Parrone I'll try to fix this, if ever, during my date. But it looks like Q1 wants to...

1:15:21 - Jorge Lewis Yeah, I think it's more important we go back to work on that. And hopefully, next time we attack this issue on rest, it's gone.

1:15:29 - Will Vincent Parrone Yeah. Wait, wait. Before you go, Q1 said that they're going to be signing up for the newsletter before the Y experience, so most likely, the users have an account. They're probably going to transfer the account from the newsletter to us. I'm not sure about this.

1:15:49 - Will Vincent Parrone Sorry, say that again?

1:15:52 - Will Vincent Parrone I'll say this. This is what Q1 had said. Remember, in terms of sequence, they could have signed up for the newsletter before the Y experience. And they can call to the mobile app. Try the Y experience and want to sign up. So basically, people from the newsletter would be signing in. Should we do some kind of creating an account if a person came from the newsletter, like the workflow of it?

1:16:25 - Jorge Lewis Yeah, described, so we're still, I feel like we're still aligned. I feel like he just misinterpreted what we do. So in FigJam, make a user flow of this user process and use these images here. So create a user flow saying, okay, and it's already there online on FigJam. If you open the depth spec, there's actually a section for the user flow, just called discovery. And in that discovery, what you should do is kind of duplicate it. Can you open FigJam?

1:17:01 - Will Vincent Parrone Wait, let me see.

1:17:19 - Will Vincent Parrone Here we go.

1:17:24 - Jorge Lewis So I duplicate the discovery section over here, full user auth flow. In here, search and expand upon it to create the full version with the technical thing. So saying, signs up, replacing that with more in-depth things like how they sign up.

1:17:47 - Will Vincent Parrone And then reply to them, yeah.

1:17:49 - Will Vincent Parrone Sounds like a plan to me then.

1:17:51 - Jorge Lewis I think, let them know, say, um, that sounds, that sounds right. Let me make a FigDem to make, to double check.

1:18:01 - Unidentified Speaker Okay.

1:18:02 - Will Vincent Parrone I'll message them on Discord then. Wait, let me message Kuan now to see if I get what you're saying.

1:18:23 - Will Vincent Parrone Just to make sure that we're also perfectly aligned, I'll be creating a user on how the sign up experience would look like,

1:18:42 - Will Vincent Parrone Sounds like a plan.

1:18:54 - Will Vincent Parrone including again.

1:19:00 - Unidentified Speaker Yep.

1:19:03 - Will Vincent Parrone This looks good to me. Anything else?

1:19:07 - Jorge Lewis Let me check the message out.

1:19:13 - Jorge Lewis So your message, it doesn't feel like, so I mean, he says perfect, but for me, it would be even more clear for sure thing. Like that, It just sounds like all you're saying, it sounds like he said something and then all you said was yes. But what does yes mean? Does it mean yes, that's what we have in mind or yes, I'm going to change my mind? Yes, thanks for the clarification. So when we say sure thing, what do you mean by that?

1:19:44 - Will Vincent Parrone I just basically, I'm just basically saying that I understand. I'll keep note of what you've said. That's what I meant by sure thing.

1:20:00 - Jorge Lewis But we don't want to be just keeping note. We want to make sure that we can give more than that. So for example, he says, this is what we've discussed. How does that interact with what you guys are planning? It's pointless to say, I understand, just as a first thing.

1:20:27 - Jorge Lewis Because there's things that we need to clear up.

1:20:32 - Jorge Lewis We can't avoid the conflict of having cleared things up. That's what it feels like, Because there's a conflict which is, we talked about the UX being via the mentor chat with action buttons. Do you understand what he means?

1:20:45 - Will Vincent Parrone I think right now, he is talking about the mockups.

1:20:54 - Jorge Lewis Wait.

1:20:56 - Jorge Lewis So the answer is no. It doesn't sound like you know what he means. Neither do I. Like, I don't know exactly what he means. So it's, we can't just say yes. We're better off to saying, okay, to make sure that we're aligned. Like don't, because saying it's, um, it's like a false sense of security for him. And it's bad because if he thinks, if it creates an assumption that we understand, and then later down the road, it could bite us in the ass. This one specific example may not be the case, but for things like this, I've definitely seen it happen. I wouldn't be stressing it as much if I didn't see this happen before.

1:21:38 - Jorge Lewis If you feel what I'm saying.

1:21:40 - Will Vincent Parrone Okay, okay. I hear what you're saying.

1:21:48 - Will Vincent Parrone So, what are the improvements that you think I should do, like, It's not on how I voice my messages. I think it's being a bit more inquisitive. Questioning, I suppose.

1:22:02 - Jorge Lewis So, of course, it depends on your style then.

1:22:14 - Will Vincent Parrone Mm-hmm.

1:22:21 - Will Vincent Parrone Sorry.

1:22:22 - Jorge Lewis Yeah, I think so as well. Like, you know, the very short messages kind of like a lot more lenient. QAnon has very direct messages. You can find your own style. But there's some things that need that all forms of communication from conflicts.

1:22:46 - Jorge Lewis So what I would like for me, if this were me, I would, I'm going to type it in your, in our person on the end, but don't, don't kind of, I don't want you to kind of take this as a fact, like just for me, how I would do it, right?

1:23:03 - Will Vincent Parrone Yeah, basically I'll just try to get the essence of it and figure out the, how I'm going to write it in my own words.

1:23:11 - Jorge Lewis Oh, are you there?

1:23:20 - Will Vincent Parrone Yep. I think your internet is a little bit I think you cut out by there. Hello, hello. Can you hear me? Yeah, yeah, yeah, yeah.

1:23:27 - Unidentified Speaker Hello.

1:23:28 - Will Vincent Parrone Hello.

1:23:32 - Will Vincent Parrone Can you hear me?

1:23:34 - Jorge Lewis Yep, I can hear you.

1:23:36 - Jorge Lewis Is that me? Yes, okay, okay. And then you can use that as inspiration. Everyone has their own style, so don't take it as like a fact.

1:23:46 - Will Vincent Parrone Okay, got it. Looking at it now.

1:23:58 - Jorge Lewis Hmm.

1:24:03 - Jorge Lewis Hold on, my Wi-Fi is literally like...

1:24:07 - Will Vincent Parrone Yeah, I'll turn off screen sharing for now.

1:24:14 - Jorge Lewis Haha, thanks.

1:24:17 - Jorge Lewis Man, this is the worst it's been so far. I don't know, bro, I'm in Hong Kong, one of the places with the fastest internet. I don't have like, I can't even do a voice, a video call.

1:24:28 - Will Vincent Parrone Jesus Christ, how much is the internet there?

1:24:42 - Will Vincent Parrone Hello, hello, hello. Can you hear me, Jorge?

1:24:47 - Jorge Lewis Oh, bro, it's expensive. All data, right?

1:24:52 - Unidentified Speaker Yeah.

1:24:53 - Will Vincent Parrone Oh, God. We have like 10 seconds delay.

1:24:58 - Jorge Lewis It sounds like there's a big delay, though.

1:25:09 - Will Vincent Parrone Yeah. Maybe we can end this call now. And I work on the user sign-up flow for now in Figma.

1:25:23 - Jorge Lewis Is it better now?

1:25:25 - Will Vincent Parrone Not sure.

1:25:45 - Jorge Lewis Okay, have a nice day.

1:25:46 - Unidentified Speaker Bye-bye.

1:25:55 - Will Vincent Parrone you
