Hasnain / Jorge - Pair Programming 
Thu, Aug 8, 2024

0:03 - Jorge Lewis Hey there, hi, how are you?
58:39 - Jorge Lewis That's a good point. I think we'll have to use some sort of either edge servers or edge functions or, um, yeah, I think something related to edge functions.

58:57 - Hasnain sayyed Okay.

59:00 - Jorge Lewis But we, yeah, so we'll worry about time later since that can be added on top of, um, and by the way, just a quick concept of how we can control all the time is in data in super base, we can store the time, um, like normal, like, uh, as normal, but in the, in the system, the code, we divide it by a multiplier. So that's one, one minute for us.

59:25 - Jorge Lewis we multiply it by a multiplier, not divide it. So 20 seconds for us, we multiply it by 100, that's 2,000 for them.

59:44 - Jorge Lewis Anyways, all right, let's get into it. So you can open VS Code, share a live share link. So it's 1.30, we've already done an hour. Let's do 30 more minutes if you don't mind. Just so we can get some coding in.

59:55 - Hasnain sayyed Yeah, sure.

1:00:24 - Hasnain sayyed Okay, I have sent in the chat.

1:00:49 - Hasnain sayyed Can you access it?

1:00:57 - Jorge Lewis Trying now.

1:01:08 - Hasnain sayyed Should I create a column here that the last time maybe, because that's the starting point to write the function, the last time compared by the current time.

1:01:32 - Jorge Lewis Sorry, could you say that again? I was working on the VS code thing.

1:01:37 - Hasnain sayyed Okay, so I was telling like, we have to like, as I said, before, we have to add a time variable in the synthetic table, like the last run.

1:01:54 - Hasnain sayyed Yeah, last executed. Oh, yeah. So We can compare the last executed with the current time. And if that is not more than 24 hours, then that synthetic user won't execute. And if it is more than two hours or maybe equal to, then we can execute.

1:02:18 - Jorge Lewis Yeah, but what I would suggest is we ignore the time controlling first because that will expand the scope a lot and there's so many different edge cases to manage that it'll kind of not allow us to focus on getting something first. So we have this task, we have to make a simulation system. We need this system, we want to, we want to get something done, something that we can see the smallest thing that we can see is going to be one conversation back and forth. We don't need to worry about time. It's just a user having the synthetic user having a conversation with the ball. You can have a stop button so that they don't forever go on.

1:03:03 - Unidentified Speaker Okay.

1:03:05 - Jorge Lewis And then later you can already be excited to see that you can have conversations. And, um, yeah.

1:03:14 - Hasnain sayyed Got it.

1:03:17 - Hasnain sayyed So first thing, what should we start like with the super base creating functions or what else? What do you suggest?

1:03:27 - Jorge Lewis So I'll leave it up to you. I'm going to, I'm going to leave it up to you. You, you can think, okay, we've got a couple of things to do. I'm just picking one. Usually it works pretty well. Just starting. It's hard to find the right answer because they're all OK.

1:03:47 - Hasnain sayyed Because the main thing that is coming to my mind is that function to create.

1:04:07 - Hasnain sayyed I'm thinking how to execute that.

1:04:18 - Hasnain sayyed Okay, so one thing we can do is and getting this for this. You we have to create a rag over here like the sorry the graph sorry the graph will be similar to this everything will be similar to this folder but that will make the easy and the starting point will be

1:06:14 - Hasnain sayyed graph Okay.

1:06:17 - Hasnain sayyed Everything I think will be similar, uh, to this folder itself. Uh, just, uh, this folder is calling the real user. It will, in this folder, we will be calling the synthetic user. And additionally, uh, the top layer will be the edge case that we have talked like the time variable.

1:06:35 - Jorge Lewis Right.

1:06:37 - Jorge Lewis We, we, I don't think so. Are you, are you suggesting we just copy and paste the AI folder?

1:06:49 - Hasnain sayyed Uh, yes. Or I don't like, are you saying that the not copy pasting, like, uh, in the synthetic user, it will be having a chat with, uh, AI agent, right. Uh, and the AI agent code won't invoke by itself. We have to, uh, create a flow between, uh, these two, uh, the synthetic and the AI agent. So, uh, in the current folder itself in the AI agent, uh, folder, there is a chat between real user and the AI agent. So the code for the AI agent will similar.

1:07:24 - Unidentified Speaker Yeah.

1:07:32 - Jorge Lewis In the AI folder, there's one function that's being called somewhere, run. So inside run.

1:07:43 - Jorge Lewis There's one function that's been called run. This is to interact with the chatbot. We're here, we're passing it profile ID, we're passing it user message and user examples prompt. Profile ID is the only thing that's going to be different.

1:08:05 - Jorge Lewis So in, within synthetic user, what we need to do is somehow call this run function, right? Correct.

1:08:11 - Unidentified Speaker Correct.

1:08:13 - Jorge Lewis We, in essence, we need to call the run function.

1:08:16 - Hasnain sayyed So, and the top layer will just be the like, the edge case function that I have talked like one day, one conversation, like one day, one session, the top layer will be that the edge case condition. And we just have to create a loop over here because in this file, it's just a one case scenario, like a one way scenario. It's not a loop where it's just a HTTP request, like pointing, running this function and getting the return for one conversation. But we have to create a loop kind of thing over here.

1:08:54 - Hasnain sayyed Based on time.

1:08:58 - Jorge Lewis As we discussed, 30 seconds or 1 minute.

1:09:09 - Jorge Lewis As I said, we have to reduce the scope right now. We want to focus on one thing right now. When you're developing software, if you're worrying about all the 30 different things that have to be made, You're never going to make one thing. Right now, we want to get a conversation happening between the bot and the user. Then we can worry about adding in time into the code. So we need to isolate small things to make.

1:09:35 - Hasnain sayyed Should I copy paste this thing over here?

1:09:42 - Jorge Lewis This function? No, no.

1:09:48 - Hasnain sayyed I just have to change this thing. The user message will be not the parameter itself. It will be the previous. We will be getting it from the database or the few short.

1:10:07 - Hasnain sayyed What do you mean, few short?

1:10:09 - Hasnain sayyed The database, like the prompt that a Q1 is adding from the dashboard.

1:10:18 - Hasnain sayyed The user message will be, in the real use case, will be passed by the real user, right? But in the synthetic user, it doesn't have any, like, the user message from the real user. We have to get it from database, which will be in the scenario of future.

1:10:36 - Jorge Lewis For the synthetic user, we should be using a language model. There should be an agent.

1:10:44 - Hasnain sayyed OK.

1:10:47 - Hasnain sayyed So based on the- Yeah.

1:10:55 - Jorge Lewis Because we're trying to pretend this guy's a user. There's no reason not to use a language model. We're trying to create new data, not reuse old data.

1:11:11 - Jorge Lewis Got it.

1:11:13 - Jorge Lewis I was just saying- So I'm going to try to kind of start you off and see if it makes sense. So we have this run function that's being called by the dev bot. Let's go into the simple dev user. Let's import that function.

1:11:34 - Jorge Lewis Let me enable my copilot.

1:11:57 - Jorge Lewis Oh, my co-pilot subscription ended.

1:12:28 - Jorge Lewis And then here, we know we want to call run. What are the properties?

1:12:41 - Jorge Lewis These are profile ID, so it's a string ID. What else?

1:12:53 - Jorge Lewis User message.

1:12:56 - Jorge Lewis So we need to message to do AI generated message.

1:13:07 - Jorge Lewis And then use example prompts just do hmm. What does that mean?

1:13:12 - Unidentified Speaker Oh?

1:13:15 - Hasnain sayyed It's just a boolean template.

1:13:17 - Jorge Lewis Yeah false okay, so So we have this here const ID is So we need to get this ID from a We need to get this ID from SuperBase.

1:13:39 - Hasnain sayyed Yeah, so just right here, maybe.

1:13:48 - Jorge Lewis So for now, let's use a hard-coded ID. So I'm going to go into SuperBase and copy one from the correct tables.

1:14:03 - Hasnain sayyed Just paste over here.

1:14:13 - Hasnain sayyed And it will be synthetic user.

1:14:23 - Hasnain sayyed Synthetic profile, sorry.

1:14:33 - Jorge Lewis All right, so I'm going to copy this one.

1:14:50 - Jorge Lewis Oh, no, this is just, yeah.

1:15:00 - Jorge Lewis I don't know how you guys don't use super base. I mean, I'll compile it.

1:15:09 - Jorge Lewis Profile for, okay, so. Okay, so let's make a new file that generates a message. Message, yes. And then here we can just do prompt run.

1:15:50 - Jorge Lewis All right, so I've made just a simple run function and, or let me actually just.

1:16:00 - Jorge Lewis And then, okay.

1:16:17 - Jorge Lewis Sorry, I'm messing up with your if code.

1:16:26 - Unidentified Speaker Why?

1:16:27 - Jorge Lewis Oh, are you error tracking or?

1:16:42 - Hasnain sayyed Should I add this data types like synthetic user in the database.types? So this error will be gone.

1:16:56 - Jorge Lewis Let me, I'm not seeing your screen. Over here. Yes. I don't have some of the highlighting because I'm on your live share.

1:17:10 - Jorge Lewis Generate the new types.

1:17:13 - Jorge Lewis Yes.

1:17:15 - Jorge Lewis That's a good idea.

1:17:28 - Jorge Lewis If there's only one super base call in the script or in the code, you don't want to name them. You can just leave them. So this is pretty, should be pretty obvious, I think.

1:17:44 - Unidentified Speaker Bye!

1:18:18 - Jorge Lewis It's now gone.

1:19:11 - Hasnain sayyed We have to create an agent which passes this message.

1:19:18 - Hasnain sayyed Okay, yeah, it's generate message is there.

1:19:30 - Jorge Lewis I'm not getting all of the error highlighting that you are by the way.

1:20:48 - Hasnain sayyed What are we creating next?

1:21:06 - Jorge Lewis Next is.

1:21:16 - Jorge Lewis Could you keep sharing your screen? Because it was quite helpful.

1:21:44 - Jorge Lewis Okay, so we're going to, what's the statement? So we have a message.

1:22:11 - Jorge Lewis So, imagine the message history is no messages, so we're going to have the synthetic user generate a message first, and then the AdaptBot will reply to it. We need to wrap all this in a for loop.

1:22:32 - Jorge Lewis Which one? This?

1:22:35 - Jorge Lewis So the synthetic user and the response to that need to be looped if we want to kind of have a conversation. So let's say we want to have a conversation of 10 messages.

1:22:46 - Hasnain sayyed We can just do a for loop for So based on the user response, maybe like Sorry, based on the user question, we can point like, yeah, it's 10. Or maybe a normal pointer while const let a is equal to 10.

1:23:21 - Jorge Lewis 2 Use a for loop, no?

1:23:29 - Hasnain sayyed Maybe, yes.

1:23:33 - Jorge Lewis I can't remember the syntax, though, so I'm going to search it up.

1:23:39 - Jorge Lewis For loop syntax, OK.

1:23:44 - Hasnain sayyed It's equal to 0, then 10.

1:23:56 - Hasnain sayyed A plus plus.

1:23:57 - Unidentified Speaker Yeah.

1:23:59 - Hasnain sayyed This is the basic syntax and it will be running 10 times.

1:24:09 - Hasnain sayyed The messages will be passing through this and RES we have to store this thing because the run function is performing actions on this as well.

1:24:35 - Hasnain sayyed Okay, we have events.

1:24:44 - Hasnain sayyed The one thing over here is, if you look my screen, yeah, so in the post chat, the events, it is storing the chat in events. So we have to club this ID to the events itself. Because the profile ID is also pointing to events.

1:25:08 - Hasnain sayyed What do you mean?

1:25:10 - Hasnain sayyed Like the history, the chat history is being stored in this event table. Yep. So this profile ID has a foreign key in this events.

1:25:27 - Hasnain sayyed Does it?

1:25:28 - Hasnain sayyed Yeah.

1:25:38 - Hasnain sayyed Where is that?

1:25:41 - Hasnain sayyed Ok, so it's externally storing. I failed. I thought.

1:25:52 - Jorge Lewis OK. So it is linked, though. It is linked. Go back to Superbase. There's a green icon next to it. That means it's linked. That means there's a foreign key.

1:26:01 - Jorge Lewis So no, on profile ID, that green icon, that means it's linked. No, no, no. Back where you were. Do you see the icon? Yeah, yeah. It's a foreign key with profile. So let's open up that detail of the column so that we can modify it. Because if it's foreign link to profile table, that means we can't add events from our synthetic user, which we want to. So let's see if we can add a foreign link.

1:26:28 - Jorge Lewis Yeah, yeah, there we go.

1:26:29 - Unidentified Speaker Nice.

1:26:31 - Hasnain sayyed Select table profile.

1:26:38 - Jorge Lewis Oh, yes. Should I save?

1:26:41 - Unidentified Speaker Yeah.

1:26:47 - Hasnain sayyed Id is in public. Yes. Cool. Hm.

1:27:09 - Jorge Lewis I'm going to profile ID.

1:27:13 - Jorge Lewis Insert or update.

1:27:17 - Jorge Lewis Wait, save again? I couldn't finish reading the error.

1:27:26 - Jorge Lewis File is foreign key constraint.

1:27:37 - Jorge Lewis Let me see...

1:27:49 - Jorge Lewis Because if that doesn't work, but it should, if that doesn't work...

1:27:55 - Jorge Lewis I think the problem is that there's already items in that...

1:28:09 - Jorge Lewis There's already items in the table, which means that it can't switch it. So what we have to do is either delete all the items. Is that OK? Can we do that?

1:28:32 - Hasnain sayyed Yes, or else we can't edit this thing. Can't edit the value.

1:28:40 - Jorge Lewis Um, so the only thing is if Kuhn is testing it, but I don't think he is. So let's just delete everything.

1:28:47 - Hasnain sayyed And if he says, why did you delete everything that we say in the synthetic profile, uh, we can delete and we can check, uh, if it's added because I feel, uh, the ID is similar, uh, but that doesn't the case.

1:29:10 - Hasnain sayyed let me delete this and try in the synthetic.

1:29:14 - Jorge Lewis No, the problem was because every row in the, or every row in the events table was linked, was a foreign key link to the profile ID. The structure of the cell was a foreign key link to profile ID. It was not foreign key. I wasn't a foreign key link to profile ID or, um, Uh, forward key to the profile ID or the synthetic profile ID. So now it is because I deleted all the events.

1:29:44 - Unidentified Speaker Okay.

1:29:44 - Jorge Lewis So now we shouldn't have an issue with it.

1:30:33 - Hasnain sayyed Okay, so we can copy this supervisor agent code over here, because whoa, in this file, what say there's there's Sorry, I was just looking at the code.

1:31:02 - Jorge Lewis There's a lot of, there's a prompt. So, okay. I see. Huh? So you know how, you know that we're exposing the prompts on the front end, right?

1:31:13 - Hasnain sayyed Hmm.

1:31:15 - Jorge Lewis Yeah. So, so I saw that under supervisor, there is a lot of, there is, um, his system. What is this? Yeah. So, so if you follow me, Hmm. So here we give it its prompts here, but then we're also giving it more. This should be, we should try to, this is kind of as a backlog. I know this is probably temporary, but there should be a backlog for somebody to migrate it to the front end because we want everything, all the prompts to be exposed to the front end. So yeah, we need to.

1:31:55 - Hasnain sayyed On the backend, right?

1:31:58 - Jorge Lewis No, no, it's the front end. We don't want text here. We don't want this text here. What we want to do is be using the data tape, the super base and accessing the prompts from there, which admins can modify from the front end.

1:32:08 - Jorge Lewis Okay.

1:32:19 - Jorge Lewis So we don't want to hard code the prompts here.

1:32:25 - Jorge Lewis But instead, we want to use a promise for the profile. So yeah, that's something to note out. So what is this here?

1:32:55 - Jorge Lewis Uh, you can click on me somewhere.

1:32:59 - Hasnain sayyed Uh, could you also share your screen? Uh, I can.

1:33:02 - Unidentified Speaker Yeah.

1:33:03 - Hasnain sayyed Yeah. Okay. So, so we have this, this loop.

1:33:27 - Jorge Lewis I just copied this thing So we don't need this here Okay, so...

1:34:06 - Jorge Lewis Why is that still saying? Oh, expected zero. Oh, okay. Oh, I see. Sorry. Okay, this is the...

1:34:18 - Hasnain sayyed No, we can edit this.

1:34:21 - Jorge Lewis This is the new guy. I thought this was the super generate message function.

1:34:29 - Hasnain sayyed So this, uh, this file is different. This is a generate message function. We can just, uh, let the LLM to generate, uh, the question on the behalf of synthetic agent. So, uh, the prompt, the prompt will be different.

1:34:52 - Hasnain sayyed Is that make sense? Yeah, we just remove this all.

1:35:04 - Jorge Lewis Correct.

1:35:21 - Jorge Lewis So this is not a structure of profile. I believe this is a synthetic user.

1:35:36 - Hasnain sayyed Yeah.

1:35:39 - Jorge Lewis What was the definition of this profile though?

1:35:45 - Jorge Lewis Over here. So we can do type, uh, then back here.

1:36:07 - Hasnain sayyed Okay. It's not profiled. It's it's in. Yeah, there is no S. Correct. And this we have to export over here.

1:36:22 - Jorge Lewis Yeah.

1:36:24 - Jorge Lewis So, is this correct over here? System and then, or is this a tuple?

1:36:31 - Jorge Lewis And then I have to do prompts.

1:36:34 - Jorge Lewis Or how was it before? Let me just copy this.

1:36:39 - Jorge Lewis So, it's a list. Oh, it's just the two, okay.

1:36:44 - Jorge Lewis So prompts teams, okay, so this is going to change from Like it's just prompt this is not gonna be using So how How should we go about structuring the profile structure? So if you see on my screen We have the prompt is Is it these three?

1:37:17 - Jorge Lewis Hmm.

1:37:17 - Jorge Lewis Or well, we're actually. Okay. So let me think.

1:37:28 - Jorge Lewis So this objective is, it can be just prompt. Personality can be part of the prompt and LM. Okay. Okay. So these two are just part of the prompt. So inside of the structure of here of synthetic profile, Should I re-upload the file?

1:37:50 - Hasnain sayyed Because I have deleted.

1:37:53 - Hasnain sayyed Re-upload the file? Which file?

1:37:55 - Hasnain sayyed The CSV from the profile. So we will be having the users in the synthetic one. Like, do you want- I think, I think.

1:38:05 - Unidentified Speaker Yeah.

1:38:06 - Jorge Lewis Go ahead. Yes.

1:38:09 - Jorge Lewis Oh, actually, you know what we could do to make it more dynamic and probably better, just a lot better code is within anywhere in the original code that's accessing the profile. So let me, let me go to man to kind of illustrate what I mean. So this function here is returning a profile, right?

1:38:31 - Hasnain sayyed Right. Just a second. Yes.

1:38:37 - Jorge Lewis So this profile here is referring to the, like an actual user. What we can do is do something like, so we take in another Boolean synthetic.

1:38:49 - Unidentified Speaker Yeah.

1:38:52 - Hasnain sayyed It will be false for the default value. You can put the default value as well.

1:38:58 - Jorge Lewis Oh, yeah. Good point. And then we do table. Synthetic.

1:39:08 - Jorge Lewis Or just do profile table.

1:39:15 - Hasnain sayyed Is it profile?

1:39:19 - Jorge Lewis We want to make sure it's, they're all the same. That's a big, that's important.

1:39:27 - Jorge Lewis So profiles with an S. So we wanted this one to be profiles with an S.

1:39:33 - Jorge Lewis There's of course best practices in terms of should we use S or not, but at least make them all the same. So if they all use S, use S.

1:39:41 - Jorge Lewis Yeah. Okay.

1:39:44 - Jorge Lewis Which means I believe in, yeah, I already added S, okay, nice. Or did you? Okay, so it comes, what else? And I think that's, it's just that table that we're changing, right?

1:39:56 - Unidentified Speaker Yeah.

1:39:59 - Jorge Lewis Or just do synthetic, we don't need it, we can just clean this up a bit.

1:40:15 - Hasnain sayyed I've added the data over you.

1:40:19 - Jorge Lewis So pretty much like that. And then we use, Oh, is that you?

1:40:30 - Jorge Lewis No.

1:40:33 - Jorge Lewis Huh?

1:40:35 - Jorge Lewis Uh, So, what type, what does this take in?

1:40:59 - Hasnain sayyed I think the row, maybe?

1:41:02 - Jorge Lewis Actually, I think I know.

1:41:11 - Jorge Lewis If you go into database.types, it takes in...

1:41:18 - Jorge Lewis Take some of these things.

1:41:22 - Unidentified Speaker Tables.

1:41:29 - Jorge Lewis How do I? Where's the

1:42:07 - Hasnain sayyed How should we add?

1:42:09 - Hasnain sayyed Let me try.

1:42:36 - Jorge Lewis Bye.

1:43:03 - Jorge Lewis Yes, I mean, if we use...

1:43:07 - Hasnain sayyed Yeah, have you found the solution?

1:43:12 - Jorge Lewis So, not yet, but just kind of to think it through, this does take in a string, or it ends up being a string, but it's just typed differently. So maybe, or maybe actually. We can use this code.

1:43:38 - Unidentified Speaker Yeah.

1:43:41 - Jorge Lewis So if I put the string, if I do this, it works.

1:43:48 - Jorge Lewis But I want to reuse this variable profile table since we… I think use it down? Oh no, it's just once.

1:44:06 - Jorge Lewis We're only asking, we're only making the simple base request once, so I guess we can use this, but I wonder maybe we should figure it out instead of

1:44:34 - Hasnain sayyed Let me try one thing.

1:45:02 - Hasnain sayyed Yeah. Yeah.

1:45:33 - Hasnain sayyed That's it.

1:46:00 - Hasnain sayyed At 10 o'clock, she would get up and leave. What? Again? She would leave at 2.30 in the morning. You would come at 8.30?

1:46:12 - Hasnain sayyed No, no. She would come at 6.30 in the morning. She would come at 8.30 the morning. Sometimes, she would come late at night. She would come late at night and leave early in the morning. She would leave early in the morning. I would come at the 8.30 morning. She would come at 8.30 in the morning. I would eat and leave.

1:46:33 - Hasnain sayyed You think he made any progress?

1:47:04 - Hasnain sayyed I don't know.

1:47:31 - Hasnain sayyed I think that's better actually.

1:47:57 - Jorge Lewis But I can't tell because my screen doesn't show me the correct things.

1:48:15 - Jorge Lewis Showing you any errors? Yeah.

1:48:24 - Hasnain sayyed I think we both are in different areas.

1:48:30 - Hasnain sayyed Tables, it's not as stable, I think.

1:48:33 - Jorge Lewis Yeah, I think month of dates.

1:48:36 - Unidentified Speaker Maybe.

1:48:50 - Jorge Lewis Because I mean, I'm fairly certain that the one here should work.

1:49:32 - Jorge Lewis Can you, it just, our screens are different. Yeah. Okay, let me, looks like we're going to disconnect it, I guess.

1:49:52 - Hasnain sayyed I mean, why is tables erroring there?

1:50:21 - Jorge Lewis Hey, have you seen my daughter-in-law? Yes, she has gone to work.

1:50:25 - Hasnain sayyed Oh, really? Yes, she has gone to work. Why are you so late today? Are you busy? Yes, I am busy. Yes, I am busy.

1:50:50 - Hasnain sayyed Yes I have to go at 6.30.

1:50:51 - Jorge Lewis I have to go I have to go at 6.30 I don't know why it's taking so long to load. I'm gonna stop sharing my screen, my camera so that, to see if it can go faster.

1:51:33 - Hasnain sayyed Yeah. Yeah.

1:51:37 - Jorge Lewis Um, but yeah, it's just super slow. Like I clicked it's joining collaboration session for quite a while. Okay. But, um, okay. So I'll, I'll just ask you to do it. So instead of, so take copy and paste everything after the question mark.

1:51:57 - Hasnain sayyed This one.

1:51:58 - Jorge Lewis So the second one should be a cool one.

1:52:04 - Hasnain sayyed Yeah. Yeah.

1:52:12 - Jorge Lewis But anyway, so copy copy those two so the table synthetic profile and tables profile the whole the whole thing Now it doesn't like it Oh no, there we go, cool. Is it airing for you?

1:52:51 - Hasnain sayyed Unknown word, it's failing.

1:52:56 - Jorge Lewis I think it's just slow to update.

1:53:11 - Jorge Lewis Can you try... It looks like it's just confused. It's the same type of string, but it thinks it's something else. Like we just labeled it as something else. So all we need to do is just use the types that it needs. So we're synthetic here on the right-hand side of the equals is just is saying making it a string. But then we're just typing it as a tables synthetic profile. But for me, it's not giving any errors. But for you, it is. It's just saying it doesn't know what it is.

1:53:59 - Hasnain sayyed It's also getting error in the profile as well.

1:54:09 - Hasnain sayyed I said maybe.

1:54:41 - Jorge Lewis Can you push and then save all and push and I'll try to open it locally? Because it just feels like the IDE is not being very happy.

1:54:54 - Hasnain sayyed So should I push while creating a new branch?

1:54:59 - Jorge Lewis Yeah, yeah.

1:55:03 - Jorge Lewis Yeah, create a new branch.

1:55:23 - Hasnain sayyed What should be the branch name?

1:55:29 - Jorge Lewis What did you suggest?

1:55:31 - Hasnain sayyed Features and synthetic profile.

1:55:36 - Hasnain sayyed Maybe.

1:55:36 - Jorge Lewis Yeah, or yes.

1:55:38 - Jorge Lewis Yeah, whatever. That works.

1:56:07 - Jorge Lewis Yeah, I'm now in.

1:56:32 - Jorge Lewis Yeah.

1:56:33 - Unidentified Speaker Yeah.

1:56:58 - Jorge Lewis Have you generated the superbase types again?

1:57:04 - Hasnain sayyed Which one?

1:57:06 - Hasnain sayyed The superbase types.

1:57:11 - Hasnain sayyed The interface?

1:57:18 - Jorge Lewis So we made a new table. Have you generated the new types for it?

1:57:23 - Hasnain sayyed Yeah, I've created the types over here.

1:57:33 - Hasnain sayyed Why it's not coming? Yeah. Yes, profiles. OK.

1:58:10 - Hasnain sayyed Yeah, I pushed on GitHub.

1:58:13 - Unidentified Speaker OK.

1:59:10 - Hasnain sayyed or else we can make this dynamic afterwards like just.

1:59:46 - Jorge Lewis Why is there so many branches open?

2:00:05 - Jorge Lewis Uh, your, your branch, the branch name should not be with an S feature and then slash. That's why I couldn't, I was trying to check it out, check out, get checkout, but it wasn't finding it.

2:00:20 - Hasnain sayyed Oh.

2:00:26 - Jorge Lewis Um, Yeah, so my thing doesn't error. Does your thing still error with the type? Yes. Try restarting your IDE.

2:01:31 - Jorge Lewis No, it's a very old name, so I shouldn't...

2:01:36 - Hasnain sayyed of extension which gets an error if my spelling mistake is there, so.

2:01:47 - Hasnain sayyed Oh, so is that what's erring?

2:01:49 - Hasnain sayyed No, no, it's not the extension one.

2:01:53 - Jorge Lewis Oh, there's two. TypeString is not assignable to type.

2:02:02 - Jorge Lewis Oh, wait, maybe...

2:02:07 - Jorge Lewis Uh, do. So I'm trying to figure out why I'm not getting those errors.

2:02:17 - Jorge Lewis Um, but try, try the string. So go to the strings and do as tables and then.

2:02:26 - Jorge Lewis Where in the data type.

2:02:27 - Jorge Lewis So, so when you're setting the screen, no, no. So right where you are, right where you are back, you want to cast the string to the type. So. Synthetic underscore profiles as, and then tables synthetic profiles. No, no, no, up, up, on the string, on the string.

2:02:46 - Jorge Lewis So the variable, the string, synthetic profiles, the string.

2:02:50 - Unidentified Speaker Okay.

2:02:52 - Jorge Lewis Down, yeah.

2:02:54 - Jorge Lewis Yeah, so we want to cast it as the table.

2:03:03 - Jorge Lewis Cannot, there's no type string to type.

2:03:18 - Jorge Lewis Wait a minute. Why is...

2:03:30 - Hasnain sayyed It's also getting type string is not assignable to the row.

2:03:32 - Unidentified Speaker All right.

2:03:36 - Jorge Lewis Um, are we spent enough time on this? So I had to do, um, and make, and just use the hard coded one.

2:03:46 - Jorge Lewis I'm going to use the rest of your beer book.

2:04:36 - Unidentified Speaker Oh, my God.

2:05:27 - Unidentified Speaker Hello.

2:05:30 - Hasnain sayyed Yeah, I'm just coming in two minutes for washroom.

2:06:25 - Unidentified Speaker Bye.

2:07:37 - Hasnain sayyed Welcome back.

2:07:44 - Jorge Lewis So is it all done now?

2:07:47 - Unidentified Speaker Yeah.

2:07:47 - Hasnain sayyed Is that problem solved?

2:07:48 - Hasnain sayyed Well, which problem? All right, cool.

2:07:53 - Jorge Lewis Oh, yeah. The type.

2:07:54 - Unidentified Speaker Yeah.

2:07:56 - Jorge Lewis Oh, wait, no, no, it's not solved. So the problem was that the problem is that we need to access either the synthetic profile or the user profile right there. We're only accessing the profile. We need, so the solution is to just move. So take a look. Let me share my screen.

2:08:22 - Jorge Lewis Like the whole world, what we're solving, I feel like you kind of tunnel vision too much on what we're on the typing issue. The, what we're trying to do here is, is set this profile to either be from the synthetic profile or the profile list. That's what we were doing up here. So we were trying to set up. We're trying to do this and make it a variable, but instead we're just going to copy this and then paste it here. This profile here will either be from the synthetic profiles or the profiles.

2:09:01 - Hasnain sayyed Okay. Well, I thought it can be.

2:09:18 - Jorge Lewis One thing we need to be careful of that maybe is that if there's any properties of these two that if profiles has something that synthetic profiles doesn't, then there might be an error at some point. I don't think so.

2:09:34 - Hasnain sayyed Because it has copy paste.

2:09:39 - Hasnain sayyed It's the same. I copy pasted the same.

2:09:42 - Hasnain sayyed It has all of the properties.

2:09:44 - Hasnain sayyed Yeah.

2:09:46 - Jorge Lewis Yeah. Cool. All right. So I'll just push this in.

2:10:02 - Jorge Lewis All right, go ahead and pull. And yeah, I'm a hop off. It's been a great session. I think very productive.

2:10:08 - Hasnain sayyed I think we learned a lot.

2:10:11 - Jorge Lewis So for now, I guess just keep working on this and then, um, and then, yeah, keep me updated. So it's clear what the objectives are, right. And how we should move forward with this.

2:10:24 - Hasnain sayyed Yeah. So for now, uh, we will be using the loop, right. Uh, for, uh, iterating for the 10 times.

2:10:32 - Hasnain sayyed Or should I create a function? OK.

2:10:38 - Jorge Lewis Just do that for now. And then once we can see something on the screen, then we'll move forward. We need to do it step by step, because it's a very big issue that most new developers have, is that they try to make the whole application And then it takes them three months and within that three months they never finish something that they can test. Not test as in make unit tests, not test as in no errors. Test as in see the experience so it's very important that we that when we're making these projects and you're developing is you focus on very small things that you can test as an end and you so in this case what we can test as an end user the smallest thing is we can see a AI the synthetic user having a conversation with a chatbot that's all we need like we all we need to see is they can send messages to each other basic that's it hmm And then after we can see that, then we work on expanding it little by little. But it's very important that we see the progress through the testing that like with the end user.

2:11:50 - Hasnain sayyed Okay. Okay. I will work on this and make it as functional as a basic level and then we can move step by step.

2:11:58 - Jorge Lewis All right, cool.

2:12:01 - Jorge Lewis Um, I think you'll have to work with, um, I think you'll have to work with one of the front-end developers to get the front-end for this done. So whether Will or Nazif, kind of bring them both in a call and ask and demonstrate or tell them, hey, we have this new task. How can we go about working on this? Check who's busy or who's not.

2:12:27 - Hasnain sayyed Yeah. Okay. I will ask them right now.

2:12:33 - Jorge Lewis doing this programming session. Looking forward to the ones to come. I think it's a great way to keep growing.

2:12:45 - Hasnain sayyed Yeah.

2:12:48 - Hasnain sayyed Correct then. I will update you once I will get our achieving done. Okay.

2:12:55 - Jorge Lewis All right. Cool. All right. Thanks.

2:12:58 - Unidentified Speaker Thanks. Bye.
