Meet Meeting 
Tue, Aug 27, 2024

0:02 - Cuan Mulligan Hey, man.
1:03:19 - Cuan Mulligan So I'm only going to give it one answer and see what it says.

1:03:23 - Jonas Lindberg It may count as one question with two outputs.

1:03:28 - Unidentified Speaker Sorry?

1:03:29 - Jonas Lindberg It may count as one question with two outputs because it's technically one sentence.

1:03:34 - Cuan Mulligan Yeah, I know. That's why I think it's weird. One question mark. I think it's been true.

1:03:40 - Jonas Lindberg Yeah.

1:03:53 - Cuan Mulligan So it's fine, but I don't want it to say this. It's assuming, anyway, so eight weeks.

1:04:09 - Jonas Lindberg Yeah, I hope those problems you have with specific responses, to me, they sound like more so things that are bound to be fixed through reviews, more so than things that are fundamentally wrong, if that makes sense.

1:04:28 - Cuan Mulligan Yeah. So it's saying to adjust your time frame, but it should be the time frame or the weight.

1:04:34 - Jonas Lindberg Yeah.

1:04:41 - Jonas Lindberg But yeah, for me, with those kinds of problems, I'm pretty confident because that also is another thing where I can imagine you just clicking on it, clicking bad response, and then correcting it to an improved response.

1:05:45 - Cuan Mulligan Once we get this done, I'm assuming there's no logic changes to converting these texts into a conversation.

1:05:58 - Cuan Mulligan Voice conversation?

1:06:00 - Cuan Mulligan Yeah, so voice in, voice out.

1:06:03 - Cuan Mulligan Yeah.

1:06:05 - Jonas Lindberg As far as I know, no.

1:06:10 - Jonas Lindberg Converting voice to text and text to voice again. Of course, the concern I remember you had with that is that AI won't be able to tell the sentiment from the user's voice. So that's kind of the main differentiator with the mood or the tone, intonations, the pauses, and the voice can't come through pure text. But I imagine there's some way of encoding that.

1:06:36 - Cuan Mulligan Whisper does support sentiment analysis from OpenAI. My concern is that text does not convey sentiment, not the voice. Because I know with the OpenAI demo, it was able to see concern and happiness in a face. So if you're stuttering or pausing, I think it does have some sentiment intonation or analysis in it by default. When you convert it to text, all that gets taken out. That's the issue.

1:07:11 - Cuan Mulligan So rather than my voice going to OpenAI converted to text and text going into the system, my voice would have to go over to OpenAI. OpenAI would then have to give that text plus sentiment.

1:07:28 - Cuan Mulligan And that will be then taken to the system to do something with. But we're at the end now. I haven't done this step nine. But we've got down to step nine. Pretty robustly. I think that the challenge now is the, I'm going to try and, I need to go into the garden for a second because a tree has fallen down or a branch has.

1:07:50 - Cuan Mulligan Yeah, I need to look at this. I think this is good. It's definitely more happy path. I'm going to see where I can start breaking it again in the morning when I wake up. But I think we're certainly at a place now where we can go through it. I think getting the reviews over will be really good.

1:08:08 - Cuan Mulligan And I think, I'm trying to think, what else? The transition from one step to the next. I think the transition seems to be a bit buggy.

1:08:23 - Jonas Lindberg Yeah. Yeah, I think we're aligned there.

1:08:28 - Cuan Mulligan Cool. Right. Well, I'll see you bright and early.

1:08:32 - Jonas Lindberg Yeah. Before you leave, could you just test that the delete buttons work?

1:09:10 - Cuan Mulligan Let me go up a bit more. I'm not too sure.

1:09:19 - Cuan Mulligan Well, that's weird.

1:09:22 - Cuan Mulligan So it's on stage eight.

1:09:26 - Cuan Mulligan I'm going to get rid of step eight. I'm going to get rid of this last step. And then I can go, I can. And maybe that's correct. Yeah, now it's gone into step nine. I think that's fine.

1:09:46 - Jonas Lindberg Yeah?

1:09:47 - Jonas Lindberg Yeah.

1:09:48 - Jonas Lindberg Yeah, I wonder now, just for fun, what will happen if you just deleted some message in step six and then send another message. I think it'll reset the step to step five or six, and then I'll confuse to all the bots.

1:10:17 - Jonas Lindberg No. There may be a bug in the step resetting then. If you delete up until I usually lose weight quite fast and just repeat that message, I wonder if it will be at step 9 or step 8 when you send that message.

1:11:07 - Jonas Lindberg I also want to get rid of that full page reload every time a message is deleted.

1:11:13 - Jonas Lindberg That deleted two messages.

1:11:16 - Jonas Lindberg It wasn't actually two messages. It was one message with a paragraph between. That's what confused me too when I said like, Oh, wait, it isn't working. And then I realized, oh, yeah, it was one message, but two paragraphs.

1:11:28 - Cuan Mulligan OK.

1:11:37 - Jonas Lindberg Yeah, it's all set now.

1:11:39 - Unidentified Speaker Yeah.

1:11:43 - Jonas Lindberg So it's not going back in step correctly.

1:11:48 - Cuan Mulligan But it's acting, it's acting as step eight. It's still, it's still acting this questions.

1:11:59 - Cuan Mulligan Hmm.

1:12:08 - Jonas Lindberg Yeah. Uh, will you be continuing to like test it throughout today?

1:12:14 - Jonas Lindberg No, I'm done now.

1:12:15 - Jonas Lindberg I'm gonna yeah, then I think I'll just leave it for tomorrow morning and get at Fixing that plus the other bugs tomorrow morning.

1:12:23 - Jonas Lindberg Perfect. Cheers, buddy.

1:12:25 - Jonas Lindberg Yeah, I'll see you
