Hasnain / Jorge - Pair Programming 
Mon, Aug 5, 2024

3:12 - Hasnain sayyed you Hello.
58:45 - Jorge Lewis have the bot do like this conversation here, and he says, our typical client starts checking their emails, starts the day with checking emails. If I, at the very end of the conversation, when I'm about to prepare, make the UDP with the chatbot, if I say, state what my client does in the morning, if the chatbot is able to do that accurately, then we should be still to go. But also there's a very big difference with the language model being able to remember something and also being able to use it when it's generating new text. For example, if this fact that their client checks their emails in the morning, if you ask it to remember it, it'll remember it. But when it's generating new text, it's not going to be used as strong in the new text. Does that make sense?

59:39 - Jorge Lewis So that's something to keep in mind as well.

59:46 - Jorge Lewis So I recommend we stay as simple as possible because JP already told us and I think I can vouch that this whole framework can be done with one single agent. So we already know we don't need to complicate it. So let's start from there and if we need to, if we notice, Okay, the facilitator bar is losing quality. It's forgetting things. Then we can worry about, okay, how do we reduce its context so that it's remembering the more important things? Like, we don't need to store tool usage, tool messages, and stuff like that. So how should we, so then, maybe, so maybe we don't even need, so I'll, because what I was thinking is we store the object. For T, we store the list of messages relating to discussing the T. But then again, I don't think we want to make it that hard-coded. One message might be related to both the T and the A Maybe it might be related to three of them. I think that's also over-complicating it. Let's try to just do... Let's keep this as simple as possible.

1:01:01 - Jorge Lewis So this graph here, so let's remove this. Let's go to the user or the router. Also, now that with JP's new examples, I'm reconsidering the whole design of this, because what this is useful for is, well, actually, wait, let me think.

1:01:26 - Jorge Lewis No, it should be fine, actually. We need to make sure, oh, we're missing the, Oh, yeah, we're missing the actual subvisor.

1:01:52 - Jorge Lewis Right?

1:01:58 - Hasnain sayyed One thing here I want to point is, in the context of multi-agent like the router is passing and running each agent simultaneously and then it will be giving the response to SubVisor. Over in this case, each and every agent has a different functionality or different and responsibilities and it will be asking questions independently or you can say to the user in each step. So, if we try to you know combine each agent response in SubVisor.

1:02:33 - Hasnain sayyed it will make the supervisor as complicated because in each step we have to point the supervisor you know this agent needs to invoke first or this agent's response or these questions needs to pick so because it's a linear approach it's a linear UBP framework, if you look at the question answer. So that's why I have not added supervisor. But we can think about how we can fit it into.

1:03:12 - Jorge Lewis So from the example, yeah, thanks. So from JP, I think he's, I don't know if he's forgotten or if he's like, because initially, A big benefit of having multi-agents is that it feels like there's multiple people in that conversation. So if I say, I want to target...

1:03:38 - Jorge Lewis If the system knows, okay, I'm making a Gillette, like a company like Gillette.

1:03:44 - Jorge Lewis If I say, let's say something weird, like let's say I'm targeting people from Japan. Or just follow with me. If we're talking to people from Japan, the analyst agent will take this message and say, okay, let's research relating to this. And then it finds out, oh, Japan people can't grow beards. And so it says that in the message that the subvisor relays, but number one, it's going to be hard to, like the facilitator agents, okay, that was a bad example.

1:04:17 - Hasnain sayyed Like the LLMs know that it'll, You don't understand that naturally, but let's do Because in the JP's doc we have seen the agents will only you know, try to ask questions to the user because The JP has you know listed every agent to ask questions to the user in based on different style or responsibility so If we make this graph as the JP's workflow, the agent will only ask the question based on each step or each tail framework, like aspiration, it will be pointing to that question only, related to that question. It won't have any extra context or any extra tools based on user question to research about.

1:05:18 - Hasnain sayyed You got what I'm pointing?

1:05:23 - Jorge Lewis Yeah.

1:05:29 - Jorge Lewis It's weird, because all of the agents in his example have the same job. They're all asking questions. Right, right. Initially, facilitator bot was kind of to manage the conversation, to lead. Which he does here, the facilitator bot always will know. So in A, if you're on the same example in the web craft solutions example, A is started by facilitator bot, which is normal.

1:06:02 - Jorge Lewis That's what I expect.

1:06:04 - Jorge Lewis Then in L, analyst bot starts it. Makes me think, what's the facilitator bot's purpose? I think what JP did was he simulated the conversation from one person. I think maybe we proposed to JP saying, because it doesn't look like we need multiple agents here.

1:06:27 - Unidentified Speaker Right.

1:06:31 - Hasnain sayyed It's just changing the name of the bot and doing the same thing, like asking questions.

1:06:37 - Unidentified Speaker Yeah, yeah.

1:06:39 - Jorge Lewis So what we can do with that actually is do like a...

1:06:48 - Jorge Lewis is have all these agents, so this facilitator agent is actually going to be useless and we have these three agents and all of these are kind of have the same purpose as the facilitator agent but they have their own approaches or their own specialties and we have a supervisor just as standard that determines okay this this question can be asked by this agents, but they're all kind of the same. Like, uh, I mean, but also by the way, we might not want to spend too much time thinking this out because the fastest approach might be trying something, sending it to JP and he's like, Oh, that's great. And it turns out it was just the easiest solution. Cause if we make something and he's like, actually I want this behavior more than it'll be. We would have wasted the time planning rather than just making something. I want our AI developers to be skilled enough in that one day, maybe even half a day, we can make this entire graph and then publish it and show it to JP. I think that's very doable. For example, if we're able to reuse the rag tools, the the few-shot prompting, all the things we learn, not only reusing code, but reusing our experience, then I think we could make these graphs super fast. So what we should prioritize is more prototyping and making prototypes and sending that to JP and showing him the results of that, and then iterating from there. And that's the whole Agile Have you gone into Agile? Do you know what it is and what it stands for?

1:08:29 - Hasnain sayyed Yeah, Agile is a software engineering framework which basically means developing and testing and deploying, if I'm not wrong.

1:08:42 - Jorge Lewis Can you see my screen on Google Maze? Yes.

1:08:49 - Jorge Lewis So there's the Agile Manifesto. So Agile was created because software development was terrible.

1:09:06 - Jorge Lewis So this is the Agile Manifesto. It was created by a bunch of dudes that were like, alright guys, we need to figure out something to make development better. And this is what you should be reading for when you're trying to figure out how to come, how should you be developing. Of course, you can, this has been, a lot of people like this because it's very accurate. So you can make your own assumptions, of course, over time, but this is what I use. I agree with every point here, I think, or some more than others. But one of them is, I don't know if this is it, there's a better, Let me just use one of these ones. Responding to change. This is kind of number one. Responding to change is referring to instead of planning all the different approaches, let's make one and respond to how we get feedback on it. So getting feedback very, very fast. And that's the idea of sprint. Sprints are too weak. Phases for development, because we're assuming that after the two weeks, something will change in terms of what we're trying to do. Or oftentimes that's the case. That's the idea of sprints. And for us, we can make it one day. One day we make this and we're like, okay, that works. Otherwise, actually, we want more effect of this, so we make a new design. So that's kind of the Agile manifesto. Take a look at it. I sent an article.

1:10:39 - Jorge Lewis for the Agile manifesto a year ago.

1:10:42 - Unidentified Speaker Okay.

1:10:46 - Jorge Lewis Read that after, in your own time.

1:10:52 - Jorge Lewis Okay, so yeah, let's not worry too much about the planning anymore, but it was important that we understood what JP was trying to show.

1:11:02 - Jorge Lewis I'll raise this concern to JP now. Our time's up.

1:11:08 - Jorge Lewis Sign up starts soon. But bring this concern to JP in the chat and say, Jorge and I went over the document. We were trying to design how we can make the AI stuff and realized that none of the agents have a specific use within the system. They don't, or special, behavior like it's not very unique maybe but then he's gonna he might say that's true but I would like the possibility for later down the road that the agents do that so there's um because this is going to be one of many workshops so we have to keep that in mind like I don't know if you if it was mentioned in one of the videos that you watched but he this is going to be

1:11:52 - Hasnain sayyed up to like 300 frameworks so or 300 different frameworks so let's keep that in mind We can keep the question asking for a single agent as well, what you what you have pointed before, that's also a good idea. We can just change the name of the you know, question asking bot or whatever agent and that work will be doing with a single one. And the second will be an analyzer, which simultaneously analyze, you know, the response what user has put or what the user answer has come over here and it will try to analyze is there any wrong thing or is there any irrelevant thing that user has you know put or entered and it will and if it's present if there is a major irrelevant thing like I have pointed before then it will ask user that this is not the case based on the history that you have responded to us. You should, it will be giving some suggestions.

1:13:05 - Unidentified Speaker Yeah.

1:13:05 - Jorge Lewis Like one thing that I was, I was imagining that this framework was going to do is like the, the, in the onboarding fit and introduction, the user says, I'm doing a software development company. That's what this web craft is. So I've got the user says, um, I'm Alex, founder of Webcraft Solutions. We're a web development company. Then the facilitator bot will keep this in mind, or the system will keep this in mind, and so that when the, for example, for landscape, this one is important to the market, how the market is positioned. Let's talk about other businesses similar to yours. Who else is offering web development services to small and medium-sized businesses? This, instead, could be the analyst list saying these are the companies. Yeah, I'll just tell you. These are the companies that are similar to yours. From their websites, I see that their mission statement or their kind of like their headline. So if I go to Startino, It searches online software development companies and if it gives us a location, we can use that as well.

1:14:21 - Jorge Lewis No, but we can search web development company specializing in creating this. And we get a result and it starts to build up. We scrape it, we say, okay, this company focuses on being both a software development firm and a tech co-founder. They provide The passion, okay, so it understands this and it presents it to the user here.

1:14:44 - Jorge Lewis That's what I was thinking the analyst bot would do, but maybe he's trying to simplify it and say, we don't need that right now. Let's not worry about that now. Let's have the user do their own research. Maybe it's beneficial as well for the user to do their own research, to understand it better. Let's ask this misconception with JP, make sure it's clear, and then we can go from there. How about you send a message now, and we can see if we can get a response. You should be awake in about an hour, so I think you'll get an answer then. In the meantime, what I would suggest is... Let's see.

1:15:27 - Jorge Lewis What else? Like, if I told you make the graph, or make the AI, component of IntelliAgent, what would you start? What would you start doing?

1:15:38 - Hasnain sayyed The coding part?

1:15:41 - Jorge Lewis Yeah, like if I said, OK, go make something, what would you start right now?

1:15:50 - Hasnain sayyed I think the first of all, the main idea or the main work is in the prompting. Right, because each step or each phases has different type of portion, few short and whatever you say. So that's the main part of the programming and main part of the code, whatever you say, the logic.

1:16:13 - Jorge Lewis By the way, remember that the prompts are being taken from the front end. So the The prompts should be left to the front end, meaning JP should be modifying them. Is that clear? We don't want our time to be spent improving the quality of the bot's prompts. That's why we have an admin interface for the users. We made that entire interface so that they can spend 10 hours a day improving the prompts. That's something we have to keep in mind. We what we can do is since JP for adapts we I know you guys spent a lot of time improving the prompts, which is not What we what we what we should be doing. That's his job but with JP we can do him the favor and Use all this content that he gave us to write some prompts and start him off as a like he can even do this himself control a or what is it now like if he could take the Yeah, this document, 04, and paste it into our input field for the admin page for the prompts, and he can just keep going from there and see how well it works.

1:17:26 - Hasnain sayyed So, yeah, we have to keep that in mind.

1:17:32 - Jorge Lewis So far, there's two options we can go down to kind of summarize. Number one, there's a concern that we don't need multiple agents.

1:17:40 - Jorge Lewis If we don't need multiple agents, does he want them to feel like different people? Can it be one person?

1:17:50 - Jorge Lewis If that's the case, we have this graph here, the UV creation graph. Let me go back.

1:18:08 - Jorge Lewis So, the initial graph design with the sub-visor was actually the exact same as this, but I think even better. Are you familiar with the mixture of agents design or experts?

1:18:23 - Hasnain sayyed Like the multi-agent one?

1:18:27 - Jorge Lewis So, just the word, when I say mixture of agents or mixture of experts, does it ring a bell?

1:18:39 - Hasnain sayyed Like there will be a conversation between agent like the flow can be in any form like that.

1:18:47 - Jorge Lewis I asked a question. Did you get that it was a question or?

1:18:53 - Jorge Lewis No, can you repeat?

1:18:56 - Jorge Lewis I asked the question and then you didn't answer. Did you understand it was a question or no?

1:19:02 - Hasnain sayyed The mixture of agent you said, right?

1:19:05 - Jorge Lewis Yeah, so I asked, does it ring a bell? Do you know what mixture of experts is?

1:19:11 - Unidentified Speaker It's just yes or no.

1:19:19 - Hasnain sayyed Actually, no.

1:19:23 - Jorge Lewis No, I'm not trying to check, oh, does he know this or not? There's so many things I don't expect you to know. I'm more happy that you don't know anything and you just want to learn everything. I'm more happy with that than you knowing everything because then you get lazy. If I did my PhD, most people, the problem with you studying a PhD in computer engineering, you feel like there's actually a curve of learning. What's the curve? There's a name for the law. Can you see my screen? Yes.

1:20:08 - Jorge Lewis Dunning-Kruger effect.

1:20:12 - Jorge Lewis So when you know nothing, and you learn your first steps, you gain a lot of ego. But the experts know that they know nothing, or they know a very little bit of what they need to know, so they're always constantly learning. But there's some point where people learn quite a bit of stuff, and they think, oh, I know everything, and they go on their way. After time, you learn, wow, I really know nothing. There's just always trying to learn. So, if I ever ask you if you know something, don't think it's like a test, by no means. If you don't know it, great, you can learn it now. It's not an issue. So, the mixture of experts is, you can see my screen? Yeah, I can see.

1:20:59 - Jorge Lewis This was a model architecture used in the Mistral language model. You're familiar with Mistral, right? Yeah, yeah. So what they did was they had, so it's eight by seven B. The eight is actually eight different modules of the thing. So they had the What they did really was what we're doing here. So they have one module here, one module here, one module here. There's a router that determines, okay, let's use this module, let's use this module, let's use this module, depending on the sentiment and the context of the user's message. So that's what we're doing really here. This model of experts, the idea is that you can combine, number one, you can make faster responses since each of these is specialized, it's smaller. So instead of combining all of them. So it's faster and also what you can do is you can attack, you can use all of the modules and combine the results so that each module can be very specific and then we combine all of them together. That's the idea. Like there's a ton of benefits with this design here where there's three agents giving all of their input and then just combining them together. So for example, the brand agents will think, Every message he gets, he's thinking, okay, how does this affect the brand? The content creator will think, okay, will the customers like how this sound? And then the analyst agent will think, how does the market like this? Those are the three things that they think about. And then when they give the answer, we can maybe make, we can determine, Like, since in the example JP sent, each bullet doesn't really have much of a purpose. So we can even just have it so that the output, we can literally just say, OK, who do you think should? So what we do is, actually, no, let me not do it. Let's make this a square.

1:23:05 - Jorge Lewis So pick a persona, or so combine. Combine messages, pick a persona, send. So this here can be the steps that we take to send the message. So it's just, we combine all the messages, take every use, we're not gonna pick one, we're gonna combine them. We're gonna take all the useful aspects, and we just have this guy, this is an agent. So this agent determine, What agent makes the most sense? What agent does this sound like, So if we combine all the messages and make it into a message, who does it sound like, Does it sound like the brand agent? Then we'll just make the brand agent say it. Because for example, here, or where is, no, here. In these messages, the analyst bot is not being very analytical. He's saying something pretty random. So it doesn't really matter too much, I think. Who says it, but rather that it feels like multiple people. So I think what would be good is we go ahead and make this design.

1:24:16 - Jorge Lewis We're going to call it mixture of agents.

1:24:21 - Jorge Lewis This is going to be the mixture of agents.

1:24:34 - Jorge Lewis So try making this design. Like try to spend one day on it the rest of today work on this and try to get something finished And then when we have something that's working we can spend Who knows east on the other the rest of the project we can spend The rest of the day or tomorrow Testing it and figuring it and sending it showing some examples to JP saying this is how it works These are the type of outputs we can get Okay, yeah, because what we need to do is Jonas's job and my job here is to make sure that we don't work on features that don't align with JP's thing. So what we're first going to do is send a message to JP saying, hey, we noticed this with the document you sent. Ask for clarifications. And then we can go through with this. By the way, one thing I would recommend is asking more questions.

1:25:33 - Jorge Lewis Just any doubt you have, like if I say something and because obviously I don't plan in advance what I'm saying so sometimes I'm talking about one point and then I might just talk about a random point here and then I might go back to my first point and you might have a question on the start the middle or the end and yeah so if I'm like starting to go on another road you can either stop me and say let's stick to this one or you can ask a question if you're confused at all. Like, okay, are we talking about a new thing here?

1:26:09 - Unidentified Speaker Okay.

1:26:09 - Jorge Lewis So just, I think a practice, even if you don't actually have a question, try asking a question, like more questions. Okay. There's a, there's a, there's a technique used by, um, people that, that are great at conversations, which is summarizing what the other person just said. You, the other person says something and you just say, okay, to understand, or to check that I understood correctly, you mean to say that this and this, and you try to explain what they just said. And that way, it's very good at making sure there's no miscommunication and that both people understand it. And also it makes it feel like you're listening when I'm speaking, and that's super beneficial in conversation.

1:26:53 - Hasnain sayyed Got it.

1:26:56 - Jorge Lewis All right, cool.

1:26:56 - Jorge Lewis So let's just clean this up a bit maybe.

1:27:00 - Hasnain sayyed So for my thing, I will implementing the graph onto the Node.js thing, Node.js and TypeScript. And yes.

1:27:13 - Jorge Lewis Let's get you and Nazif in a call because I want to get this project set up so that you can start working because there's the meaning that I want to get the super base set up. With the admin page on the front end. Let me show you on Adapt. You can see my screen. Yes. Do you remember the URL? I can't remember.

1:27:50 - Jorge Lewis Is it just Adapt Verso?

1:27:52 - Hasnain sayyed Adapt Journey Verso.

1:27:54 - Hasnain sayyed I will Here's the link. I can't remember which one it is. I have sent it in the chat.

1:28:04 - Unidentified Speaker Oh, you sent it. OK.

1:28:21 - Jorge Lewis Where have you sent it?

1:28:23 - Hasnain sayyed In the meeting chat.

1:28:26 - Jorge Lewis Oh, in the Google meeting chat.

1:28:44 - Jorge Lewis So you're familiar with the add-on pages, right? Yeah.

1:28:50 - Unidentified Speaker Yeah. Okay.

1:28:51 - Jorge Lewis So what I want to get is I want you and Azif to work together to set up all of the... Just a second.

1:28:58 - Hasnain sayyed Your sound is echoing. So can you turn off the mic in gather?

1:29:11 - Unidentified Speaker Oh, it's in gather.

1:29:15 - Jorge Lewis Okay. Um, So what I want you guys to do moving forward with Naziv is setting up. So like I said earlier, we don't want to work on things that we don't know that JP wants. So we're still early in planning. But what we can do is setting up the project, kind of just the basics. So like this admin page, so that you can start working with the agents and making sure it's efficient. Because if you have a UI to edit the prompts, I feel like it's a lot more efficient and also setting up the super base so that you can connect to Message like message histories and stuff like that. So you can actually start working. There's obviously workarounds you can take like you can Probably use like a local storage or cash and stuff like that. But let's try to get all that set up today real quick Okay Yeah, I think stand-ups in two minutes And for the message, can you update this, uh, I have send, uh, in the meeting chat, uh, for the JP, should I put, uh, so Jorge and I were working and then was working on the graph design. Um, we have noticed that none of the agents have unique functionalities. Um, So I think it's, so we, let me, I'll write a new version. So we can say Jorge and I were working on the graph design on it. So for him, I don't think he understands graph design. So working on the AI design for the workshop agent flow, we can say. Yeah, there you go. Thank you. We're working on the agent flow for the workshop.

1:31:14 - Jorge Lewis And we noticed that none of the agents have, that the agents, it's, it's, um, it's helpful. I don't like to use things like none of, or I like to kind of just because like, it's true. None of them have unique functionalities, but then it's important that we don't, when, when JP, when JP read this, he's going to think something and we have to make sure we try to like predict what he's going to think. So if I say, um, your documentation was too simple. Instead of saying that, if I say, um, I thought your documentation was a little vague. It didn't include all the details I need. That's a lot different, but with the same meaning. Um, and that's an annoying thing you have to worry about with clients and communication, but oh well.

1:32:06 - Jorge Lewis And we've noticed the agents don't really have unique functionalities.

1:32:18 - Jorge Lewis So help me check, do the agents have like a persona? So is there something, is it clear that they're focusing on something?

1:32:30 - Hasnain sayyed Uh, like in each step, uh, they are asking a different question based on that particular, uh, state, for example, for the target, they are asking based on that. But, uh, by looking at some of the question, it doesn't seem to be different. Like for that, there was one example that I noticed it was different.

1:32:52 - Jorge Lewis Like, um, there was one message where the, the brand bot says, um, So the brand bot in A for webcaps, he says, we buy products for how they make us feel. So that's what the brand bot is supposed to, that's what branding is. And he lists examples of what their brand should represent. So that's the only example I can see. But that's not functionality, that's kind of just their prompt. We tell their prompt, hey, focus on this. Yeah, so let's maybe mention that. We notice that the agents don't have unique functionalities, just rarely, I'll put in brackets, unique focus points, like the brand, like this.

1:33:45 - Jorge Lewis So this, and then you can send the screenshot.

1:33:56 - Jorge Lewis You can send the screenshot here. All right, I need to use the restroom. I think it's time for, oh wait, no, we're not having standup anymore. Right, I forgot. Wait, I'll be back, sorry.

1:34:13 - Hasnain sayyed Oh, where do you have, you have put, okay, yeah, gone.

1:35:54 - Unidentified Speaker back.

1:35:56 - Hasnain sayyed Can you repeat the last sentence that you have said I didn't got that news was telling about screenshot.

1:36:07 - Jorge Lewis Oh, yeah, send send the screenshot I sense here. Let me add you in discord. So you can send this message saying this and then send them the screenshot of the graph or like the message I sent. So look in Discord, you see?

1:36:32 - Hasnain sayyed Yes, in the intelligent one, right?

1:36:36 - Unidentified Speaker Yeah, yeah.

1:36:37 - Jorge Lewis So you said, Jorge and I, you can copy and paste the message. Jorge and I were working on the AI flow for the workshop. We've noticed that the agents don't really have unique functionalities, just rarely unique focus points like this. And I highlighted where the brand is focusing on the brand, which is his job.

1:36:54 - Hasnain sayyed I pasted this one. All right, perfect.

1:37:04 - Jorge Lewis Hopefully we can get some feedback on that.

1:37:19 - Unidentified Speaker Should I highlight your message?

1:37:20 - Jorge Lewis What do you mean?

1:37:27 - Hasnain sayyed You said the second thing, highlighting.

1:37:33 - Jorge Lewis I sent a screenshot. And there's a blue text that I highlighted. So you can copy the image and send it.

1:37:41 - Unidentified Speaker OK.

1:37:59 - Hasnain sayyed Oh, I haven't looked.

1:38:03 - Unidentified Speaker Yes.

1:38:06 - Unidentified Speaker Sent.

1:38:06 - Jorge Lewis All right, so to review our session here, I think one thing that we could have done better, and this is not only just for the pair programming session, but also in general is worrying, I think we, I think when you're planning things like the graphs, what I think maybe is better for us to go quietly for five minutes to make our own graphs and then come together after like five to 10 minutes and combine the two, because that's what we did for Adapt. We had Bewis, me, Chinmay, and Jonas, four people making different graphs for Adapt. And then that was super helpful because at the end of it we got a really good graph. We compared the graphs saying this graph is better for this and it's worse for this. And we were able to conclude to a really good design. So let's try that exercise. So next time you're working on a graph and you're with another person, try that approach. See how that works.

1:39:15 - Jorge Lewis So that's something we can improve on. Also one thing, so these pair programming sessions are a mix of designing and programming. But we spent an hour and a half, an hour and 40 minutes doing the design. So, and it was also kind of a little bit of a mix between kind of planning the project because we're still so new into this project. So if you don't mind, later today sometime, I'll join you and we can work, I'll join you and we can work on this design that we made. Yeah, yeah. All right, cool. So for this, one thing I want to highlight by the way, I realized it while in the restroom, is that the mixture of agents design can actually, regardless of JP's answer here, if you want single agent or multi-agent or if they do have very specific use cases, regardless of that, we'll be able to make this graph because this graph, depending on how we do the last step, which is do we combine the messages or do we select which ones to send? And if we combine them, who do we want to speak? Do we want it to be one persona? There's so many different things we can do with this. So really, regardless of his answer, I think this graph will be what we use. Maybe we can change it or we can prototype with another design, but I think this design is pretty reliable. So what do you think?

1:40:50 - Hasnain sayyed Yeah, we can try on this thing, we can find some much more edge cases as well. But this is much more flexible, I think.

1:41:04 - Unidentified Speaker Yeah, cool.

1:41:06 - Jorge Lewis So yeah, get started on that.

1:41:08 - Jorge Lewis Let me know if there's any roadblocks or anything like that. I'll be coming around now and then.

1:41:17 - Hasnain sayyed For now, should I work on the admin one or should I work on this graph designing?

1:41:25 - Jorge Lewis What do you mean the admin one?

1:41:27 - Hasnain sayyed The adapt thing you have showed me.

1:41:32 - Hasnain sayyed Can you clarify? Like before you have shown me the ADAPT admin panel, like the working for the prompts and agents creation. So should I work on the coding part or should I work on the designing the graph?

1:41:54 - Hasnain sayyed Like a simple thing, what should I do?

1:41:58 - Jorge Lewis Okay, so there's two things that are to be done. Number one is making the project repository and getting Nazif to help you build the frontend, like a basic version of the frontend, so that you can maybe test something out and you guys can make the super base, you can make it yourself or you can ask him, I don't know. And then that's Or, and or, both of them, is making the mixture of agents design.

1:42:32 - Unidentified Speaker Yeah.

1:42:32 - Jorge Lewis You can, what I'd recommend, so to, okay, how about this? So making the front end, or if you were to do the front end within the z first and getting the super base done, it would allow you to test and connect it to the database and use the front end more efficiently. But what I want to try doing is, only working in the TypeScript environment and seeing how fast you can get something to work there. For the prompts, try not to work too much on that. Spend at most 30 minutes trying to get it. Copy and paste as much as possible saying, here's a document describing the framework or blah, blah, blah. Yeah, so try that.

1:43:14 - Jorge Lewis Today, right now, it is around noon for you, 12, right?

1:43:25 - Jorge Lewis Are you going for lunch soon? Like in one hour. Alright, so start working on the coding, on the graph, the mixture of agents. Mixture of agents. You can work on that. And I'll stop by maybe two or three times just to make sure things are going great. Okay.

1:43:59 - Hasnain sayyed Should I like, I'll join you for like, okay, okay, great, great. Should I create the Node.js repository or should I ask Nazeeb to create the first frontend and then because that will be taking much more time, right?

1:44:19 - Jorge Lewis Yeah, let's bring Nazif over.

1:44:26 - Jorge Lewis I'm going to end the Google Meet and we can hop in together. Yeah, yeah, sure.
