Meet Meeting 
Mon, Aug 19, 2024

0:00 - Jorge Lewis Oh, I see. Place.
45:31 - Unidentified Speaker Yeah.

45:33 - Jorge Lewis I've found a passion for wine yesterday and I was like, I'm in the mood for some wine. I'm glad this wasn't that expensive. It's not! This was like $13.

45:46 - Jonas Lindberg Okay, it's $13 too, which...

45:53 - Jorge Lewis There goes your weekly allowance for food.

46:05 - Jorge Lewis Yeah, that's what I hate though. It's like you're in Thailand and just everything is great. But then you leave and you're like, you just enter depression. And I think there's a term for it like, like, yeah.

46:17 - Jonas Lindberg Like the motorbike I'm renting is like the nice version of it. It's the one, two, five, five. Okay. It's, it's got but they also had another one, which he said was like 10 years old. And I was like, why does it have kilometers? Oh, that's because it's gone to a million and flipped over.

46:45 - Jonas Lindberg But yeah, it's like, I think for the month I paid $2,500.

46:53 - Jorge Lewis Why did you...?

46:56 - Jorge Lewis Because I have no clue what he's saying. Matias, what are you doing? It's 1am.

46:59 - Jonas Lindberg I'm doing the dishes.

47:06 - Jorge Lewis Matias, what are you doing?

47:11 - Jonas Lindberg I think he may have...

47:18 - Jorge Lewis You're just filling cups up and then... Just go sleep. So your brain can develop.

47:36 - Jorge Lewis Yeah.

47:37 - Jorge Lewis All right.

47:41 - Jorge Lewis I'm gonna go ahead and share my screen. So I prepared videos that we can just kind of We can watch.

47:58 - Jonas Lindberg Let me just pour a little bit.

48:07 - Jorge Lewis This not being able to open a YouTube tab is really annoying.

48:28 - Jorge Lewis Let me know if you can hear whatever is being recorded, or whatever is being...

48:41 - Jonas Lindberg No, I can't. How about doing it on Discord instead of Google Meet? You have OBS, right?

48:57 - Jorge Lewis On this, I do. But does it run?

49:01 - Jonas Lindberg Yeah, Thailand's great.

49:24 - Jorge Lewis You sounded like you just got there like a week ago.

49:26 - Jonas Lindberg I'm saying it as a conclusion, like now I've lived here for quite a while, right? Four months.

49:44 - Jorge Lewis Yeah, I was there for like, like 10 weeks.

49:49 - Jonas Lindberg Start of April, then left for two weeks, April. Yeah. So.

49:58 - Jonas Lindberg Yeah, hasn't... Oh yeah, you got out at the right time though, to be honest. Like, it's been quite... Every night it rains, so... You can imagine nightlife isn't that good at the moment. Though I'm not going out often.

50:16 - Jorge Lewis I mean, here it rains pretty often as well.

50:19 - Jonas Lindberg Yeah. I see you have the WetUSDT tab.

50:28 - Jorge Lewis Oh, my Chrome.

50:29 - Unidentified Speaker Yeah.

50:36 - Jonas Lindberg Is it at 0.025 now, or is that from ages ago?

50:42 - Jorge Lewis No clue.

50:50 - Jonas Lindberg How's it going? Oh. Oh. Oh, that's the time.

50:59 - Jorge Lewis It's hit. I checked my Binance accounts, I'm down a K.

51:05 - Jonas Lindberg I'm down like 6 K total I think.

51:09 - Jorge Lewis Cheers to that.

51:10 - Unidentified Speaker Yeah.

51:15 - Jorge Lewis To the moon.

51:19 - Jonas Lindberg The thing is though. Is still going strong, and if this is an ABC pattern, like up, down, up, you know, ABC, then it's, if BTC pops up, I think we're getting the C curve of the ABC, and it should be nice.

51:41 - Jorge Lewis We're relying on this Christmas season to like, this October, November to kind of pop off. If it doesn't, then RIP.

51:49 - Jonas Lindberg Are we, like, according to my friend, which has been saying this since forever, it's going to be like 2025, which is the year it pops up. He said, like, the bear season was coming a bit, like, before it came now. But he's always said 2025 is going to be the year.

52:15 - Jorge Lewis It may be. No.

52:21 - Jorge Lewis Actually, you can watch them.

52:29 - Jorge Lewis Wasn'T… I'm on my laptop.

52:33 - Jorge Lewis I can move to my PC actually.

52:37 - Jonas Lindberg Wow, finished already?

52:40 - Jorge Lewis Way more than half.

52:43 - Jonas Lindberg I mean like the glass.

52:48 - Jorge Lewis I don't, I don't, I don't know why, but I don't like pouring a full glass.

52:52 - Jonas Lindberg I think it's a, I like to feel like you want to swirl it.

52:56 - Jorge Lewis Yeah. Like, no, just when you finish, because if it's a full glass, you finish and you're like, wow, I finished the full glass. But if it's a half glass, you're like, no, I only finished half.

53:04 - Jorge Lewis Yeah.

53:17 - Jorge Lewis This is going to take a while trying to figure out how to put a cork bag. Good night, buddy. That'll do.

53:34 - Jorge Lewis Yeah, I wonder what's going to happen if I go to the US, or if my parents go to the US.

53:41 - Jonas Lindberg Hmm. Yeah. Texas. How expensive is it there?

53:47 - Jorge Lewis Oh, expensive.

53:51 - Jonas Lindberg Can you at least like live with your parents and still do the high-ticket networking?

53:58 - Jorge Lewis Oh, that's the only option. Like I can't live by myself there probably. I guess at some point, that's not a limitation.

54:08 - Jonas Lindberg What about like moving to Chiang Mai?

54:11 - Jorge Lewis Um, it would depend. So let me just turn off all the lights. Um, so they're probably going to decide within like two weeks. Um, So if they do end up going, what I think I'm going to do is stay in Asia until Christmas, and then fly over there for Christmas. And then if we do end up bringing the whole team down to Chiang Mai, then I'll fly back down for that.

54:52 - Jonas Lindberg Yeah, I think most probably I'd join in the house, by the way.

54:57 - Jonas Lindberg Nice.

55:12 - Jonas Lindberg How's sales going? How's what?

55:16 - Jorge Lewis Sales. Pretty bad. I've been trying to handle loads today.

55:21 - Jorge Lewis why it's been the responses haven't been they feel like they haven't been high so I was trying to figure out so one assumption I had was because I was doing comments before as out So even though it makes the account look bad, and potentially all that, it did, I think, get more responses. So I was evaluating that earlier. All right. I am going to connect to my laptop or to my PC. I'm going to use the Russian first.

58:29 - Jonas Lindberg Yo, yo, yo.

58:37 - Jorge Lewis Yo, let me connect my iPod.

59:02 - Unidentified Speaker Hello?

59:02 - Jorge Lewis Yeah. All right, nice.

59:14 - Unidentified Speaker Cool.

59:14 - Jorge Lewis All right, let me go ahead and share my screen.

59:32 - Jorge Lewis I think, yeah. Can you see my screen?

59:38 - Jonas Lindberg Uh, yeah, I can.

59:41 - Jorge Lewis If you can hear anything.

59:46 - Jonas Lindberg No.

59:49 - Unidentified Speaker Bro.

59:51 - Jonas Lindberg Let me see if it's my side Yeah, there's no like the unmute button.

59:55 - Jorge Lewis That's great that I think you need to share the browser not the entire screen I'm sharing the browser But I need to share a tab to share the audio yeah, oh wait, I can just I know what to do

1:00:18 - Jorge Lewis What's the What's the command or what if you change the URL to?

1:00:26 - Jonas Lindberg Question mark of user equals one.

1:00:31 - Jonas Lindberg Don't work for me.

1:00:35 - Jonas Lindberg What's the number? Like if you go to Gmail and change to your personal account, what's the slash you slash number? Change to that number.

1:00:49 - Jorge Lewis Just opens in its own.

1:00:54 - Jorge Lewis Can I just add a tab without a...

1:00:57 - Jonas Lindberg Just try all the offuser equals something until you get one that's correct. You can't have that many.

1:01:14 - Jorge Lewis I just, I don't think it's going to work.

1:01:15 - Unidentified Speaker No.

1:01:18 - Jonas Lindberg Are you signed in with your personal account?

1:01:20 - Jorge Lewis No, not signed in with this one.

1:01:24 - Jonas Lindberg Yeah, but like, uh, go to like Gmail and then add account and add your personal account.

1:01:40 - Jonas Lindberg Click on one, then it should be off user equals one.

1:01:51 - Jorge Lewis I can, I can join from the

1:01:55 - Jorge Lewis the browser with that signed into my personal one.

1:01:58 - Unidentified Speaker Yeah.

1:02:01 - Jonas Lindberg For, if you're using brave, which you should be, you should create two profiles.

1:02:16 - Jonas Lindberg If you're using brave, you should create two brave profiles, one for personal and one for work.

1:02:39 - Jorge Lewis So hopefully what doesn't end up happening is that we just end up watching these whole videos and we don't stop in the middle if, like, we don't stop them.

1:02:50 - Jonas Lindberg That's like the worst thing or what?

1:02:53 - Jorge Lewis Yeah, because the point isn't to watch the videos, it's to discuss the videos. Yeah. Hopefully our creativity does something. All right, I've got them here now.

1:03:16 - Jonas Lindberg I think just one person has to be in charge of when a point starts. So you just play the video and stop when you want to come in something. And then we just discuss that thing.

1:03:27 - Jonas Lindberg And then I can mention something if it's explicitly like something I want to talk about otherwise. Bad code is good.

1:03:40 - Jorge Lewis So this is pretty much the entire statement, I think. Although my title is ugly code is good. So I guess I think bad code is better, but yeah, let's get into it.

1:03:52 - Jonas Lindberg Lately I've been thinking a lot about bad code and how, honestly, it gets a bad rap.

1:04:17 - Speaker 1 I really believe that writing bad code is a critical skill in a great software developer's tool belt. As crazy as that sounds, I hope by the end of this video, you'll think so as well.

1:04:31 - Speaker 1 In case you're new here, let me introduce myself. My name's Troy and I've been writing code now for over 15 years. Throughout that time, I've worked for tons of companies from small early stage startups to huge tech giants like Amazon. Most recently, I co-founded my own startup where I'm the CTO and make all of the engineering hiring decisions. And one of the biggest problems that I see is that engineers aren't writing enough bad code.

1:05:00 - Jorge Lewis So I think that was his the nicest way you could put it that they're moving too slow.

1:05:11 - Jorge Lewis So what is bad code? Generally speaking, you can put bad code in three separate buckets. There's code that's poorly abstracted or tailor-built for one specific use case, the code that is slow or inefficient, and then there's just code that doesn't actually work. To be clear, I'm not trying to say that you should write code that doesn't work, but these first two are valuable tools to have in your tool belt when it makes sense for what you're working on. It's important to remember that when we're writing code, we're writing code for a business, and there's a real why behind the code we're writing. For example, say your business wants a way to send real-time messages back and forth between your customers. So you architect this really nifty solution that lets customers send messages that then go into some queue that automatically get prioritized by a series of customizable functions and then show up in a support queue for the designated department to address. That solution sounds awesome. The only problem is that your company is a soft drink distributor, and even at massive scale, you're only expecting to get 10 to 20 requests a day. So honestly, it would probably be better for you to just build a pretty basic real-time chat app by copying someone's tutorial on Medium. I remember at a previous company having a heated debate with a senior engineer that we had hired from some tech giant. He was pushing back on my suggestion to use a code generation tool called Hasura in our architecture. His argument was that at his previous company, they had used a code generation tool in the past, and when they got to a big enough scale, they had to move off of it, and it cost the company millions of dollars. From his perspective, that makes sense. He joined the company years and years after they started using that code generation tool and only really got to experience the pain from moving off of it. He was missing something, though. The company's decision to use that code generation tool was very likely the reason that they got to the scale that they did. It let them build faster, prove out the product market fit and make changes really quickly. Sure, having to spend a bunch of time rebuilding it sucks. But there's a very real chance that they would have never made it to the scale where that was necessary had they not decided to use it. We ended up moving forward with my suggestion and using Hasura, and the tech stack that I designed there has supported the company well through being valued over a billion dollars. The point I'm getting at here is that when we're developing, we have a ton of tools at our disposal. What's really important is that we pick the right one for our specific business needs. Knowing what tool you should reach for is what can make the difference between a good engineer and an absolute wizard. There's a tightrope that you have to walk between delivering business value and providing high-quality, scalable systems, and admittedly, it's a hard line to walk. I've worked with tons of brilliant people who get it wrong. To close, not every piece of code we write needs to be brilliant. I've written thousands upon thousands of lines of code that weren't well abstracted or super efficient. And most of that code is still being used years and years later. So please, go build an incredibly robust, efficient system when it's warranted. But don't be afraid to write some hacky, bad code when that's what the business needs. By the way, the majority of people watching aren't subscribed, so if you- Yeah, so what'd you think?

1:08:57 - Jonas Lindberg Yeah, he nailed one of the three main points down as abstraction, which I think is where we may be disagreeing, because I do not think abstraction is, like, not abstracting is an issue at all. I think not abstracting is very good code, because then you can jump in at any point, and you can just run through the file, see what it does, compared to if it's very abstracted, you have to get to know the code base very well to be able to work fast in it. But other than that, yeah.

1:09:30 - Unidentified Speaker Yeah.

1:09:32 - Jorge Lewis I mean, he hit pretty much every point. Um, and you know, like we probably, we agree with most of what he said because his background is very similar. Well, other than the part where he worked at big companies, but he started his own startup and in startups, this, this whole bit is super important where if you're just moving too slow, the code that is good code, then you're not going to make it.

1:09:58 - Jonas Lindberg Yeah, it's also interesting that with Amazon being the big company is worked at, that means like for Amazon It's a tech giant, but their logistics lie in not specifically tech, if that makes sense, compared to Netflix, Google, like all of those live completely online. Amazon lives in real life and on text. I heard it quite like...

1:10:31 - Jorge Lewis Amazon has more logistics, but...

1:10:35 - Jorge Lewis You're like, this is a good example or at least just every example where it's just like, yeah, you, there's no, you have to understand the needs to, to figure out what, and the need is, is a, is part of understanding the vision and mission of, of the whole product or the whole project. If you don't understand that you're building for a hundred users and you're, you're trying to build a platform that scales for 10,000, like there's just something totally off. And I've got into this so many times with the team recently. Like, for example, for the milestones, the simplest way to do it is for every time the user inputs new tracking data, we're going to pull the list of milestones, all the milestones, we're going to pull the history of of the checking data, and we're going to do a couple things. Every time we get new tracking data, we're going to calculate the sum of that new tracking data. We're going to compare it to all of the milestones. Does it compare to all of them? In terms of efficiency, that is the Least efficient way like there's no I mean you could on purpose make it more less efficient But like just the default that's the default like you just pull everything you get everything and you can just compare it one by one That's the slowest way you could do it, but that is good enough like on the server side comparing what is it like 500 rows per user maybe two times three times a day isn't like you just have to compare put in richest in how relative it is to the project of the project like I don't know it's like how good do we have to make this code not good at all like I mean the what has nine actually started with was using an AI agent to compare the milestones that was kind of the code looked quite nice because it was all a prompt but the the simplest way is to just use if else statements if this is if the sum is greater than this or if the streak is greater than this so it's like the best code like the best way you could architect it would probably be I don't know storing some sort of values in a cache throughout the day or Like, there's different architectures you can apply to make this more efficient. Like, undoubtedly, but

1:13:08 - Jonas Lindberg To add on to that with, like, I remember before when we were building up the graphs and everything, getting the engineers on, we're storing all the events and all the messages just in the database. They want to optimize it. To instead store it in a cache and then upload to the database, not every single call, not having to get from the database every single time you open the application. But that's trying to optimize performance and trying to optimize database usage for all our total of zero users currently, which like, It's not where we should be. It's not what we need to be working on. Also, one of them suggested we should be backing up our servers. We have no valuable data on our servers. It's just kind of like the video by Code Statics, the triangle of velocity, Optimization and I have those videos queued up by the way.

1:14:16 - Jorge Lewis I have premature optimization queued up.

1:14:18 - Unidentified Speaker Okay. Yeah. Yeah.

1:14:19 - Jonas Lindberg But basically just know what to work out with on at which point, what is important to get down at which point and yeah. Yeah.

1:14:31 - Jorge Lewis It's interesting. I think our points so far have been not bad code, but more so Like so far, all we've mentioned is design or I guess planning or.

1:14:54 - Jonas Lindberg Yeah. I think it comes down to when you're working on an application, you need to think about like, what is the number one thing that needs to be done right now? Not what is something that could be nicer hair? Like what is the number one thing that's required from this feature? What's the number one thing?

1:15:15 - Jorge Lewis So one thing though, for Arrest for example, I've taken a look at that codebase and the whole superbase thing. It is terrible. It needs to be reworked. I'm trying to go into that codebase and change some things but it's just so tough because everything is so badly made. It was made in two days.

1:15:43 - Jorge Lewis There's, I guess, I don't know, it's like, there's also that side where it's just like, at some point, if you make code that's, or you design your, your, your code base, that's like made to last a week. I don't, I have to, and that's the code, that's the whole term code that, or tech debt, where it's like after a month, you have to refactor or not refactor, but you have to re kind of redesign, I guess.

1:16:15 - Jonas Lindberg Yeah, rest is a smaller project, like in everything, so I don't know how accurately it applies, but... Your need to optimize it comes from it being, it working and it being out there so fast. Like you got it working and up there and got us clients through the application within two days. If you spent two weeks making it perfect, I don't think it would be as efficient at doing the thing it was like number one thing it was supposed to do, if that makes sense.

1:16:49 - Jorge Lewis Exactly. Like, and recreating it from scratch is not as much work. Like, so we're looking at two scenarios. The first scenario is you make it perfect the first time. The second scenario is you make it fast in two days and then you make it again for a week. I think the duration making it perfect the first time is longer than where you make it two times. It's the same with the, it's the idea with the pottery, the, the research or the study behind the pottery thing. Where it's like, if you make a lot of them, you'll get good at making pottery. If you make one perfect pottery, you're not going to get that good.

1:17:24 - Unidentified Speaker Yeah.

1:17:25 - Jonas Lindberg Also taking the example in the video, the support ticket system. You can make the simple one, just customer sends a chat to support. Once that's in place, which takes super fast, it's much easier to recreate it and create the more advanced one when needed. It, then it would be to like create the more advanced one immediately because then you understand the needs, then you understand all the requirements, then you also haven't invested much time into it. And the time you have invested into it is a very simple piece of achieving this one mission.

1:18:06 - Jorge Lewis Yeah. One question I have is like, did Netflix design was their first, like when they, when they had their first, let's say 10 was that version of the code base scalable? Was that, could that handle hundred 10,000, thousand users?

1:18:27 - Jonas Lindberg No, no way. That's what the primogen has been working on. He made Falcor, which I don't know if you've heard him talk about Falcor, but I think it's the media codec relay thing that they used to send they send so much data out to users now, but like everything has to be scaled using microservices. It's definitely something that's been modified time and time again, and it's probably still constantly being optimized.

1:19:00 - Jorge Lewis Yeah. Cause it's just like, like for example, the milestone thing, if we made the most efficient thing for what, like we're saving $10 over a year.

1:19:13 - Jorge Lewis for like super base calls, or we're saving, you know, like 50 milliseconds every day. I don't know. It's just, you really have to, it comes down to understanding what you need, not what you want, not what's sexy. It's like, what would be sexy is if we had the fastest thing. What was what Maiden?

1:19:34 - Jorge Lewis Facebook.

1:19:36 - Jorge Lewis PHP.

1:19:38 - Jorge Lewis I think they went through a process of going from PHP to, they made like their own compiler, their own like subscript of a PHP or something.

1:19:54 - Jorge Lewis Now, I mean, now I have no clue, but

1:19:58 - Jonas Lindberg I think they're using OCaml now pretty heavily at Facebook. And that's like a nitty-gritty functional programming language. And I think they went into the nitty-gritty functional fancy-schmancy perfect language way after the platform took off.

1:20:19 - Jorge Lewis Yeah, but it's like those are...

1:20:23 - Jorge Lewis those are some really big scale projects where it's, it's very easy to take examples out of like, Oh, what was Facebook built off PHP? Okay, cool. So let's use what we know. I think everyone kind of understands, Oh, let's use what we know. Like, or I feel like that's easy to say, like we right now I'm good at Python, so I'm going to use Python and, and whatever front end I can use. But I feel like the bigger thing we should be going into is, is the more does Hmm.

1:20:56 - Jorge Lewis Cause picking what you know is important, but like there's, there's also like a balance, like for example, so, so let's, um, let's go, there's two, there's a couple more videos. So let's go through one, one more and then see, and then just go from there.

1:21:12 - Unidentified Speaker Yeah.

1:21:16 - Jorge Lewis Um, okay. This one I quite liked. Let me share.

1:21:32 - Speaker 4 In Canada, I was doing a project for a big communication company. This guy, we used to ride share and he'd come round and beep the horn and pick me up and it was like minus 30 outside. So I'd slide my way towards the car and every morning he was talking about functions. What do you think about that?

1:21:49 - Jonas Lindberg Well, I think it depends on what stage you're in your business, what stage you are in. Like with Facebook, the OCaml is the beautiful functional programming language that he's mentioning. And that's because they need that artistic perfection at the moment with like the, but you don't need that one starting.

1:22:40 - Jorge Lewis But do there, They switched to OCaml not because it was beautiful, but because it was functional, like because it served its purpose.

1:22:50 - Jonas Lindberg Of course. Yeah. I mean, that's the beauty in it, how perfectly it serves its purpose. That's at least one. Yeah.

1:23:00 - Jorge Lewis If I'm not mistaken, it's about to get into what I'm about to say, which is the like i've never thought about my code in terms of the code but just what it does like at the end like if I can do this like that's the beautiful part like the output these books like clean code and pragmatic programmer these these are very controversial there's actually a video I think I'm gonna look for it right now but while we're watching

1:23:25 - Jorge Lewis this there's The I'm gonna teach you how to create code that is clean or beautiful Which really means that it's easy to read. It's easy to maintain So there is some functional advantage to doing that but I just think a lot of people just get lost in the code and lose touch of what the point of the code is and exactly what

1:23:49 - Jorge Lewis we need to enforce within our company.

1:23:52 - Jonas Lindberg I think much more valuable books are like programming patterns, for example, learning how dependency injection works, learning what inheritance is, should you use it, when should you not use it, like learning all the patterns, not the ways to make it more readable.

1:24:11 - Jorge Lewis I mean, I've never actually read those books, but there was one video I mean, I'm looking for it, but I'll find overtime. I mean, it's just like, if you get lost in the code, it's very nice to see that you love what you do. But if you're spend, like, spend your, your, you know, your over out your extra time or doing that not not the time I pay you.

1:24:54 - Jorge Lewis Did bro get hacked? Yeah, he did. Me? Who? No, Asim.

1:25:01 - Jonas Lindberg Oh.

1:25:02 - Jonas Lindberg Yeah.

1:25:03 - Unidentified Speaker RIP.

1:25:10 - Unidentified Speaker RIP.

1:25:17 - Jonas Lindberg He posted on our server too. Yeah, I see that.

1:25:24 - Jorge Lewis Okay, you're ready.

1:25:26 - Unidentified Speaker Yeah.

1:25:28 - Jonas Lindberg I'll just kick him from the server. You can add him back when he's… Feels so bad. Rift my guy.

1:25:49 - Jorge Lewis Like you said, getting lost in the code, I'm not forgetting I get lost in the code. Sometimes I'm like, oh, this needs to be perfect. But I have time to lose. The extra four hours between 8 and 12 that I spend on it is to no one else's demise, but to mine. It's just because I want to finish that today, and no one else is paying for it. It's not like you're getting employed to do it.

1:26:13 - Jonas Lindberg Like I'm perfecting this because I find, I find a lot of joy in myself perfecting stuff, like going into stuff that isn't immediately useful because that's what's made me the programmer I am today. Like it's, I just like, it's more so the learning experience from perspective than perfecting it and figuring out how it works entirely. Not just to figure out that thing, but just to increase my knowledge overall, that that's the value.

1:26:51 - Jorge Lewis Yeah.

1:26:54 - Speaker 4 One way you can figure out if you're lost in the code yourself is to ask the question of, if I can automate all the coding and make it so that, I don't know, you just dictate through some sort of AI chatbot the requirements very specifically, but in natural English, and it just generated all the code for you, would you see that as a good thing or a bad thing. And I think from my perspective, surely it's a good thing. It's like how today, rather than spending days creating some kind of intricate photorealistic image, you can just type your prompt into Adobe Firefly or Mid Journey and it will create you an amazing looking image in 10 seconds. Surely that's a good thing, because If I can create software that fulfills some requirement in 10 seconds rather than 10 hours, then that's 10 hours of my time that I get back to potentially do more productive tasks. Because ultimately, code is just a tool to achieve some sort of outcome, to do some calculation or present something to the user in a certain way.

1:27:55 - Jorge Lewis Do you think that's how people like Hasnain, BOS, and Shinmay think of it? Do you think they think it's a tool to reach the outcome?

1:28:04 - Jonas Lindberg I'm not quite sure, but for me, usually the coding part is never the issue, especially in the tech stack we're working in. The coding has only ever been an issue when I'm learning something new, and that's how that works. It's all just a bit business and state management, or like the business logic and state management, coding that in properly, which if I was prompting an LLM, I'd also have to explain it properly. Code is just a language to express the business logic and the state management.

1:28:46 - Jonas Lindberg It's not the thing I'm trying to make beautiful. I'm just expressing myself in it, if that makes sense. Making that code beautiful or in the best optimized way possible has never been the issue. If I go into like some way like how to do this in JavaScript, that's to learn for myself so that I know in the future and can do it faster. It's not for any specific task ever. It's not to make any specific piece of code beautiful.

1:29:25 - Jorge Lewis That's what companies care about. And that's definitely what users care about. They don't care how beautiful your code is or whether you're using a functional or imperative programming language. I mean, the way that this guy in Canada was talking about our functional code was like, he'd just been on a first date or something. And now that I've...

1:29:45 - Jorge Lewis Did he start focusing around?

1:29:47 - Jonas Lindberg He'd just been on a first date or something.

1:29:53 - Jorge Lewis I don't know, is it?

1:29:55 - Jonas Lindberg Yeah, it is.

1:29:57 - Jorge Lewis Is it 1S?

1:29:58 - Jorge Lewis And now that I've started building my own projects, like I built this thumbnail tool for YouTubers, and I'm having to realize that users don't care about my code, and there's a very good likelihood that the tool that I create, it's not going to be that useful that people are actually going to start using it depending on how good I market the tool, but if there's such a good likelihood that nobody's going to use it, then it's better to get the tool out there as quickly as possible without obsessing over the code quality, the test coverage, because until you get your software in front of the We've never we haven't done a single unit test in our at all

1:30:33 - Jonas Lindberg like Because it's you'd spend all this time making the video and The the thing that matters most if someone clicks on it and starts watching it is the thumbnail, which is the thing I'd probably want to spend the most time optimizing, if that makes sense. Like, I don't want to spend 18 hours making a video just to have an LLM generated shitty thumbnail that no one will click on, or few people will click on. That's like the eye catcher that needs to be optimized, right?

1:31:13 - Jorge Lewis this is you know that guy we met in um in the in the um the hoop what is it the shisha place um adam he he does like the you don't randomly like the automated youtube videos I'm guessing that's

1:31:29 - Jonas Lindberg what it's for oh yeah yeah lies the users don't care about my code code, and there's a very good likelihood that the tool that I create, it's not going to be that useful that people are actually going to start using it, depending on how good I market the tool. But if there's such a good likelihood that nobody's going to use it, then it's better to get the tool out there as quickly as possible.

1:31:57 - Jorge Lewis This guy needs to work on his... I've noticed this because I do this a lot. He adds a lot of cuts in the middle of his speaking, which is what you'd need to do when you don't plan what you're going to say, or you use a lot of filler words.

1:32:13 - Speaker 4 Well, without obsessing over the code quality, the test coverage, because until you get your software in front of the eyes of users, you don't know whether it's actually solving a problem that they have. You don't know whether that software is going to go anywhere by obsessing over code.

1:32:28 - Jorge Lewis Yeah, I didn't realize it until I said, without even saying something between. Maybe it's automated.

1:32:40 - Jonas Lindberg It's very, oh yeah.

1:32:44 - Jorge Lewis Cause there's been like, I didn't realize it was that many.

1:32:47 - Jonas Lindberg I think it cuts forward to him saying, ah, and then kind of get into him speaking.

1:32:52 - Unidentified Speaker Maybe.

1:32:53 - Jorge Lewis You're procrastinating by doing something that's easy for you, which is polishing code endlessly, writing more and more tests until you feel completely satisfied rather than doing the hard thing, which is actually push that code to production, try to find

1:33:08 - Jorge Lewis I'm so glad our developers aren't experienced enough to even know what a unit test is. Like I'm so glad that I have not seen them make a single unit test. I don't know. Like there's the, there's the

1:33:22 - Jonas Lindberg Unit tests are only useful if you have a very specific algorithm or something that you need to code for your specific business, and you need to test that that's working correctly. All our code is just something to do with the front end or directly interacting with database or AI, which is completely unpredictable. We never have code, which is running some calculation on like some person's account. Like that's something you test, like calculate this guy.

1:33:53 - Jorge Lewis We're only dealing with strings. Yeah. And the strings, there's no, there's no like extreme values.

1:33:59 - Jonas Lindberg There's just like, And extremely long string is extremely useful for applications where you have logic that's consistent. We don't have any logic that's consistent except for database interactions, which would be integration tests, not unit tests and just front end stuff, which doesn't need to be tested ever.

1:34:22 - Jorge Lewis So integration test is something that we should take a look at sometime soon.

1:34:32 - Jonas Lindberg integration tests are mostly useless and give you a false sense of security because what integration tests really do is make you put into code your perception of how the world works, not how it actually works. And then you're testing it against your perception of how a database works, not how an actual database works, if that makes sense. So you're always testing it against what you expect, not what you don't expect, which is what unit tests are better for.

1:35:09 - Jorge Lewis There's always a range of things that you could test for, and I guess when you test for those, that should be sufficient. If there was a way to test everything to 100% accuracy, this wouldn't even be a discussion. So I guess it's just a matter of, I hate this, but everything's a balance.

1:35:35 - Jonas Lindberg Yeah, I feel like most of our stuff is just a super basic wake call, like, get this table. Our stuff doesn't need any.

1:35:48 - Jorge Lewis It returns two things, data and error. If it has an error, you treat that error but if it doesn't then it's good.

1:35:54 - Jonas Lindberg A place to use an integration test is like if you have like an edge function and you want to make sure the edge function is returning the correct thing from your input. Yeah. Not if you just want to upload the thing to the db and for thread.

1:36:08 - Jorge Lewis Yeah our programming is so simple really like it's just it's it's just very basic programming but we need to do it very like which makes it that if we do a bad job, it's pretty obvious. Like if we use three, four loops in a loop, that's like our really, really, that's our only code. Like we don't have much code really like,

1:36:32 - Jonas Lindberg Oh, three.

1:36:35 - Unidentified Speaker Sorry.

1:36:36 - Jonas Lindberg Oh, three. Oh, three. No.

1:36:47 - Jorge Lewis Bro, I've never, I didn't study computer science, why would I? I did a competitive program, I should know.

1:36:59 - Jorge Lewis Actually, I wouldn't. My programs were always log n.

1:37:06 - Jonas Lindberg Wow.

1:37:06 - Unidentified Speaker Sorry.

1:37:07 - Jorge Lewis Log n?

1:37:09 - Jorge Lewis No, but like, our code base is so simple. It's like, if you really take a look at it, there's there's not much code, like there's no, like there's no, nothing needs to scale, nothing like, I don't know.

1:37:34 - Jorge Lewis Yeah.

1:37:37 - Speaker 4 That software and face the reality of whether what you've created is part of Steaming Turd or actually it's the seed of an idea that could go somewhere. I have been the person that's been polishing code for a lot of my career. I kind of became obsessive.

1:37:56 - Jorge Lewis Now that I mentioned it, he just has so many cuts. Like I can't stop seeing them now.

1:38:02 - Jonas Lindberg Test coverage, clean code principles, naming and all these things are really important if you're working on a code base which is going to be used by like hundreds or thousands of developers. But there was this one time I was leading a particular project and all the times that my boss was telling me that we really need to speed this along and I was polishing the code endlessly like the software was somehow An extension of me and if I didn't make it good, then I wouldn't be good. But now I see that boss's perspective and kind of wish that I'd said to him, Hey, we're going to push something out the door and it's, it's not going to be great, but we'll see whether this feature is actually something that's going to be useful to the customers or not. And in some way, beginners have a big advantage here because they don't even know that clean code is a thing, but they don't know the methods that are hundreds.

1:38:54 - Jorge Lewis That's actually a good point. He was shipped his code like super fast because he used tried catch everywhere. But that's a point I want to touch on later. I actually have a talking point. I have two talking points. One of them is how the experience and skill of a programmer affects the whole statement of ugly code.

1:39:16 - Speaker 4 Lines long are necessarily less readable. Beginners are just focused on getting their web page or application to work.

