Spec overview pt 1 
Mon, Jun 3, 2024

0:25 - Jorge Lewis And is he for you?
49:50 - Jorge Lewis The person reviewing. Okay. Okay. Yep. Thanks, Jonas. I think that's Jonas. Yeah. Okay. So, so now those are the questions. All good. Now we're getting into this. I think what we'll do is just, you can read them. Ah, the meeting's almost done. Isn't it? 10 minutes.

50:13 - Jared Cairns Um, you guys have more questions in here. You just want to walk through it.

50:16 - Jorge Lewis These are, these are kind of for you to look at and tell us, no, they're wrong, but I'm assuming none of them are wrong. And maybe, and maybe just to, to check if anything is missing, but the missing part is hard to do because yeah, no, I feel you.

50:30 - Jared Cairns Let me look here. Um, there's not too much here. I can probably probably get through this. Let's see. Contract repository for storing submitted data and finalized forms. Easy access and retrieval. That's good. Entry form allows you to submit contracts. Perfect.

50:48 - Jared Cairns Signed. Yeah. OK. Contract can be rejected when it confirms the repository. Yes. Modification. OK. What's this? Shall we formally call this a delay instead of modification since that's the only functionality? Can be made to a contract by updating the end date.

51:08 - Jorge Lewis Here.

51:14 - Jorge Lewis Oh, you got it. So I brought it to the top. Instead of calling it a modification, let's call it a delay. But now that we've cleared it up, I don't think it's necessary.

51:24 - Jared Cairns Yeah, I think because also there are times occasionally when it's not a delay, it actually gets shortened. I think modification is fine. Modification, updating the end date. I would say also the start date.

51:41 - Jared Cairns So let me read this again. Only most recent version of the contract is presented through the app.

51:59 - Jorge Lewis Yep. So if I get basically the most recent data, I guess we'll just, we just, when I went through, yeah. Yeah. Okay. I got you.

52:07 - Jared Cairns Contracts can be a parent slash child of another contract. That's right. Ability to view the PDF of a contract. Yep, that's right. Ability for a signer to sign a contract using digital signing. This, if we don't have, is not, I would say this is a low priority. This one, if we don't have this, I'm not going to be too upset for the digital signing.

52:33 - Jared Cairns Review day allows contracts to be reviewed by their owners en masse to ensure start and end dates are accurate. Yeah, and then that's ideally triggered by like an email link or something. Basically, it's sent directly to them. They can update it, submit, submit back, and it can be reviewed. That seems right. View days enter contracts.

52:59 - Jared Cairns Yeah, that's right. New days enters contracts alive within a certain time frame. I guess it would basically be anything before a certain date. Or I guess that I should say is after a certain date. Sorry, yeah, after a certain date.

53:19 - Jared Cairns Bill management, restoring and viewing bills, yep. Bill entry form to allow users to submit bills, yes. Newly created bills are sent through an approval flow, yes.

53:32 - Jared Cairns Handling a bill of rejection, remembering a contract, additional deletion, yes. Ability to attach and view invoice PDF.

53:39 - Jared Cairns That's right.

53:43 - Jared Cairns Report page that blends data from the phone counter, bill amount, accrual balance, and open amount. Users can select a specific period the report will be built upon. So I do know this part. I feel like this could be... Difficult to have historical data. There are like enterprise level systems out there that won't give you Historically accurate reports. This is like the problem with power bi and other systems that have like continuously updating data So just looking at the second bullet point on 3.3 Basically it would be it would be really cool if you could run it as of, what date is it today? If you could run it as a 531, you can see the calculation and then you enter new bills, you get new contracts, you change dates, you have all this new information coming in at 630 and you get your number then. But you could still run it for 531 with all that new information and have a way to still get the 531 data. I'm not gonna hold you guys to that. I'm not gonna hold you guys to that one.

54:49 - Jorge Lewis But it would be really cool. It's just like a cutoff. So like let's say I want to see from five days ago. I can do that, right?

54:58 - Jared Cairns Yeah, I think the only thing would be you'd have to have a way to make sure like new bills aren't coming in. The versions that exist at that time are the ones you present when somebody runs it later. I mean from the layman's perspective, I could see like you store a version of that report that's accessible, maybe not through the traditional live reporting number, like you go to like a historical reports tab. And then every time you guys know, like automatically at midnight, it sends a version of it there for you to review or whatever. And maybe there's not dynamic linking or whatever, but

55:35 - Jorge Lewis To me, that sounds simpler because we don't have to track the complication with having it not do that, which that's what is having it create snapshots of every day. The other one is to have it just dynamically check, okay, look from this date and backwards. The problem with that one is that any version changes of a contract have to be taken into account. And that one's more complicated than the creating snapshots.

56:05 - Jared Cairns Yeah, I would say, and the snapshot thing, I would say, doesn't need to be daily. A lot of this stuff does not need to be daily. It's only ever going to be done monthly. So I would say that's another thing to keep in mind is that nobody cares about this stuff day to day. It's month to month and or quarter to quarter. So it may, this review day functionality, like for the company I'm at now, we'd only ever do it four times a year. Even public company, we only do it 12 times a year. So it's not something that needs to be so like refreshing and accurate and all this shit going on every single day. It's more of a month to month thing.

56:42 - Jorge Lewis Just one more concern to put out just to put it out there is that the snapshot one is probably less scalable. Or is less scalable because you're storing more data, but yeah, just a concern. I think with tech nowadays, I don't think it's really an issue at all. I was mostly thinking it was daily.

57:02 - Jared Cairns Yeah, I think eventually that would be a really nice feature, but I'm not worried about it.

57:07 - Jorge Lewis It's a nice to have, right? It's very nice. Definitely. It's sexy. Not stressing about it.

57:13 - Jared Cairns Email notifications. Email notification systems to all user events. Yep, that would be amazing. That's like a really big value add when you get that. It really sells software when you can do that.

57:27 - Jared Cairns User register their company for platform. Sign in to account with my company. Sign with thresholds.

57:39 - Jared Cairns Company account with shared information.

57:46 - Jared Cairns Okay, that makes sense.

57:49 - Jared Cairns Projects, departments, accounts, vendors, spending categories, yes. Each user can manage their personal accounts. Yep, that makes sense to me.

58:02 - Jared Cairns Payment integration, Stripe and API. Organizations can manage their monthly subscription. And is there a way to do, I'm guessing it's easy to do like an option where you can just say pay, pay monthly, pay annual, whatever, and like figure in like a discount for people. A lot of B2B software in this space is paid annually ahead of time. Um, I mean, it would be great to have monthly recurring revenue, but if somebody was going to go annual to start, I was thinking about like, you could just give them a discount for a couple of months just because you're getting the cash up front. But not a high priority item.

58:43 - Jorge Lewis Does he want to answer that one?

58:48 - Nazif Barassounon Yeah, I think it's possible to have both the monthly and annual subscription with some discount.

58:56 - Jared Cairns And just set your price. Okay, that should be easy then.

59:00 - Jorge Lewis Nazif, we were thinking because the Stripe bit is a bit of work on our side to develop and make sure it's all good and dandy. I was thinking that you could set up the payments from any customer initially can be done manually to you or you can create a Stripe link and they just pay and then we create their account manually. Or we give their accounts the access, the payment, like it's just a tick. They create all their accounts like usual, but they don't have any access to anything until you tell us, give them a tick, and we give them a tick. And then that way, because the Stripe thing, it shouldn't delay things, but that's for the case that you want to start moving, you could start making money way sooner.

59:49 - Jared Cairns A lot of people, for contracts like these, at least what I've seen is that, and we might get kicked off the call here, is that it's not really done.

59:58 - Jared Cairns You're gonna get cut off.

59:59 - Jared Cairns Yeah, it's not really done. I'll restart it. Okay. All right.
