Meet Meeting 
Wed, Jul 17, 2024

0:23 - Jonas Lindberg Let's see if there are any questions. In your microphone.
52:43 - Cuan Mulligan When you get old enough and you have children, you get to choose what the names of your kids are. But your friends, if you want to call your kid Hitler, You might love that, but people are going to give you feedback saying, that's a really fucking stupid idea. That kid's going to get the shit kicked out of them in school. Or if the acronym of all of their letters of their name spells out something funny, you might like the name, but somebody will give you feedback to say, I'm not so sure that's the right, still ultimately your decision, and the same way for this. And then when we start this workshop, there may be like, one of the first things you might ask you is, hey, Do you have any brand guidelines? You've done anything like this before? Give us your website. And we would scrape all that information, maybe do some competitor analysis. And all of that comes into play to the agents who are coming up with this. So I mean, the stuff that myself and JP did there, we are not just taking the context of the conversation with you. We're taking every conversation we've had with you before, everything we know about startups, everything we know about you, the change of intonation in your voice, your body language, all of this at some level is feeding into us. For me to come up with fucking, you never mentioned the word dream maker. I just, something happened where I just came up with it.

54:01 - Cuan Mulligan Yeah.

54:01 - Cuan Mulligan Cause it felt emotional and it felt powerful. You might go, no, not interested. It's not that, or you might go, yes, it doesn't really matter. And at the end of the workshop, we have something that you're comfortable with and you're saying, yeah, that's it. Cool. And then that's it. That's the end of the workshop, right? Now, there's many, many workshops, and one workshop goes to another workshop.

54:26 - Jonathan Phillips So, for example, in this example here, if you Presented that part of your brand purpose was to be a dream maker then going forward with messaging and going forward with your campaigns It will be orientated towards you being a dream maker So for example, would it be better for you to say to your customers on your websites and your communications? I make your dreams come true, or I build the best line chain grass in the world bear in mind They don't know what that means or they don't know understand technology So what you're trying to do is is put some empathy and emotion And if you can get that emotional resonance with the customer, then all of a sudden you're communicating with them on their level. And that's what we try and do with the workshops. But as I say, the output then takes over into the next phase of workshops and activities to then build a bigger picture.

55:19 - Cuan Mulligan So if we go back to this, I'm going to just do these two, two, two. I'm going to put those as gray for now.

55:35 - Cuan Mulligan So the backlog, right? What do we need to do?

55:40 - Will Vincent Parrone Well, JP needs to be able to So with regards to the backlog, basically, from the looks of it, yeah, we are going to keep some of the minor important parts like authentication and all that stuff.

56:34 - Will Vincent Parrone I'm creating the backlog with an emphasis on the core product features, particularly the workshops.

56:44 - Cuan Mulligan Well, what I'm trying to say to you is I'm creating the backlog in front of you at the moment. This is the backlog.

56:57 - Cuan Mulligan Everything on that page is the backlog at an epic level.

57:11 - Cuan Mulligan It'S potentially harmful to create a text-based list disconnected from the customer journey. So what you're seeing on the screen here is the journey the customer goes on and the experience the customer has. In terms of workshop one, that epic is, I need to be able to run a workshop. In order to run a workshop, I need to be able to design it. And the workshop has a workshop, and it has an output. We've talked about what the user experience is. It's probably something like this. It's a multimodal window. Fine. So with the sales website and signing up, well, signing up implies authentication. So each of these boxes. Is the epic, and each of these epics then needs to get broken down into the lower level activities that you need to do in order to bring this stuff to life.

58:10 - Cuan Mulligan So if you do this, I mean, the question is, so JP, are you going to take care of the sales website? Do you want the guys to do it, or are you going to do that?

58:21 - Jonathan Phillips I can do that. That's not a problem.

58:23 - Cuan Mulligan So outside of scope, sign up. Yeah, OK. So we're now going to break this down. And I'm just going to create yellow tickets. So you need to have authentication.

58:38 - Cuan Mulligan That's not how you spell authentication. So I'm just going to call auth. I can't spell right now. You're going to have authentication. You're going to need to have user management. You're going to have to here. If I put this here, I'm going to just scale this out so we can stuff like this. So you're going to have to do the UX UI of this.

59:06 - Cuan Mulligan Fucking hell. UX. Is that something you're going to do? Are you going to design the UX of this? Or how do you want to do that?

59:13 - Jonathan Phillips Well, I think it's a collaborative thing. I think I have an idea in my head, and I can draw that out. But if the technology doesn't facilitate what I want, then we have to compromise. So I'm more than happy to work on those, but obviously with you guys to bring it to reality.

59:30 - Cuan Mulligan So I'm just putting IR around that, because that's going to be an iterative process. It's not going to be defined. So that's going to be very difficult to say a cost on that, because how long do you iterate on? Don't know. So if I was in your shoes, Jonas, what I would say, hey, I think the Claude interface, we understand what you've asked for. You want a multimodal interface. We've got these high-level wireframes here. Once we understand the exact scope and behavior in the first workshop, we will design a basic interface that allows that. We could over-engineer and polish that interface for the next 10 years. In the interest of doing something, as long as it's functional, as long as it doesn't break, I think we'll go with that in order to control the costs.

1:00:13 - Cuan Mulligan So JP needs to be able to design a workshop. So basically here, you've got workshop creation, You've got Workshop, Outposts.
