Meet Meeting 
Mon, Jul 1, 2024

0:00 - Eksno Yeah, I can.
49:54 - Cuan Mulligan Yeah, I think that in the live coding session, But ultimately, no matter which way you skin the cat, you have a basic burn rate per team per week. Whatever we work out, whether that workshop pushes it to two months to 10 months, whatever it is, you're still doing a week multiplied by a cost per week multiplied by number of weeks estimate, that's the only variability. And then you've got scope. So your maths, the maths, like whether you understand more or you understand less, the only thing that increases the number of weeks, not the cost of the team per week. So the cost of a team per week is static. What's variable is the number of weeks.

50:36 - Jorge Lewis So what we need from you- I'm telling you, we haven't calculated a number for the price of a team yet. That way we're going to price it up.

50:44 - Cuan Mulligan When do you think you can come back to us with a price per team for a week?

50:48 - Jorge Lewis One to two days. All right, fine, cool. Tomorrow night or?

50:52 - Cuan Mulligan That allows us to understand what the investment is going to be, what we think the potential contingency budget we would need and timelines. My gut feeling is that I think there's some really nice features here and I think that we could properly prioritize them and kick some of them out into post MVP and actually do a more refined version. I'm very, very hesitant to start going down hard-coded solutions in a five-month project That's because you're talking a significant investment of time, a significant investment of money. Honestly, five months is painfully long. I'm not saying that you're slow. I'm just saying the market's moving so quickly.

51:41 - Cuan Mulligan The market, yeah.

51:43 - Cuan Mulligan So that just doesn't seem feasible to me. And that's what I would want to do in the next session is to start coming up with approaches and brainstorms that gets something out sooner that allows us to start showing people and getting investment potentially, or at least getting excitement. Something has to be usable.

52:05 - Jorge Lewis And also just getting things on paper, really. That's also a big part of this.

52:08 - Eksno Yeah. I don't think by the end of five to 10 months, we'd have one hard-coded workshop. I think that would be further along the time. Like I said, less in six months he said five to ten months so we haven't estimated that at all really like we still need to get the scope like what it would probably be better to do more like milestone because there are going to be a lot of milestones in this project where they're like first workshop, second workshop, workshop designer, just having the functional aspects down, having more necessary but slight functionality down that isn't more of proving that this works. There's going to be a lot of things, uh, the, uh, just prioritizing everything like that. And then being able to give you an estimate on when each step is going to be finished instead of just when is everything going to be finished? Because everything is so.

53:12 - Cuan Mulligan So are you guys in a position to run that workshop? When, when do you want to run it?

53:20 - Jorge Lewis Like the, the, um, I understand your one.

53:26 - Cuan Mulligan So JP's asked for a product. It's very big in scope. You need to give us a quote. We've agreed that we need to run a workshop to take that high-level feature set down into a lot more version of reality while also looking at technical execution. That needs to be run so we can say, right, here's phase one of the MVP, and this is how much it's going to cost.

53:50 - Cuan Mulligan you know, in that meeting, we will discover whether it's, you know, the nature of the workshop should be irrelevant.

54:02 - Eksno So Jorge, it's a workshop we're doing with them. It's not a workshop we're creating.

54:08 - Jorge Lewis It's the workshop to come up with a plan for intelligent. Yeah.

54:13 - Jorge Lewis Yeah.

54:15 - Eksno Okay. Is it the mix with this project?

54:21 - Jorge Lewis I mean, the word workshop is not very, yeah. Anyways, okay, yes, we could probably do it some, today's Monday, sometime this week. Let's do between maybe Wednesday and Friday, second half of the week. Does that work for you guys?

54:52 - Jorge Lewis Um, is there anything else we should go over?

54:54 - Jonathan Phillips I'm good for the moment. No problems.

55:01 - Cuan Mulligan Yeah, I won't be around. I'm around Thursday and Friday. I'm not, I'm not around Wednesday.

55:05 - Unidentified Speaker Okay.

55:08 - Jorge Lewis So we'll try for Thursday then.

55:11 - Cuan Mulligan Well, I mean, I don't necessarily need to be there. You guys can crack on. Um, but happy to be there if you feel it might add value.

55:24 - Jorge Lewis Yeah, sounds good. We can plan it out in the chat. Yeah, cool. Sounds good. Thanks for sharing the slideshow, JP. And thanks, Gwen, for your insights and your useful questions. No worries.

55:41 - Cuan Mulligan Do you, oh, I don't know whether JP's, I don't know whether we've lost your audio, JP.

55:46 - Jonathan Phillips No, I'm still here. Oh, OK. Can you hear me?

55:48 - Cuan Mulligan Yeah, cool.

55:51 - Cuan Mulligan Do you guys want to talk about the Adapt LMS, or are you burnt out, Jorge? I know it's late where you are.

55:59 - Jorge Lewis Let's do it another day, because I also want to include the web dev that will be on that.

56:04 - Cuan Mulligan OK. Can I just put something in your noodle for two seconds to sort of percolate and just sort of see when we come back to it tomorrow or later in the week?

56:17 - Cuan Mulligan One of the questions, and JP, I welcome your thoughts on this as well. So the legacy thinking is, or the thinking to this point is, is that there was a web page mobile app with pages that you had your ADAPT program week one. And in the week one, day one, and you had all of your content for the day, videos, images, whatever, and you track your information. And then there's the bot. And we've been doing some role playing today, this morning, going, OK, well, I wake up, what happens? Well, I get a notification on my phone to say, hey, you've got stuff to do today, whatever the notification is. So I'm going to click that notification. That's probably going to take me to the chat for the bot. And it goes, hey, the weather's shit today, so make sure you wrap up warm. Let's say we can do that.

57:07 - Cuan Mulligan And then at some point, I'm sort of thinking, I think if we're pushing the bot, I think the chat becomes the main interface, not the legacy clicky pages type thing. And then the question is, I was going, OK, so I think we're going to have to create a hybrid approach. And I had a really interesting shit experience with a bot recently, but actually it gave me some ideas for this.

57:30 - Cuan Mulligan If, for example, I want to track my calories, I'd log in. I'd click on Eat. I'd enter 500 calories, 500, 500, Save. That's 500, Save, whatever, four clicks.

57:48 - Cuan Mulligan If I want to do that through the chat.

57:49 - Jorge Lewis But also the first one, eat.

57:51 - Cuan Mulligan Yeah, so it's five clicks or six clicks, right? If I have to type that through the bot, hi, I've eaten this many calories, it's a lot more engagement. That doesn't feel like the most effective use of chat. However, let's say it's in the morning. We know you've probably done your walk now. I'm thinking about putting above the chat window some of these quick link buttons, which you might just be able to go, hey, If you haven't done your walk yet, what distance did you walk? And you can just put the number directly in there. So you have these floating input boxes. So a little bit like the sports app here called Sky Sports. They've just changed the UI. I don't know if you can see. Can you see down here the way they have those sports?

58:40 - Cuan Mulligan Like on LinkedIn, right?

58:41 - Cuan Mulligan These are floating. This is a floating menu that's always present if you want to navigate around the sports. So I can go up here on the page, but I've got this floaty navigation down here. So imagine the chat being down here. And this could be enter your calories, do your walk, these static things that are just quick inputs as opposed to having a chat. I think chat is much more powerful for other things. But we've got to try and figure out this sort of hybrid interface. And then I was thinking, like, Do we then, if we can do that really well, do we even need the LMS pages? I know we know that LMS for content management in the background, but in terms of presenting it, do we need it? Just a question.

59:25 - Jonathan Phillips Well, my perspective is that you reduce the LMS as much as possible. That's the way that the industry is going. That's the way that the the way that people are inputting data, that's the way it's going. It's all going to go into chat soon.
