Meet Meeting 
Sat, Jul 20, 2024

0:01 - Unidentified Speaker but it smells really bad. Okay. Right.
51:40 - Chinmay Pandya Yeah. So what I wanted to ask was, uh, From the perspective of making the model or the coach more accurate, we are using data like for habits and for sleeping habits, for eating habits. But one more type of the data which I think we need would be the data of coaching sessions. Like the actual coaching sessions turned into scripts. And then we would need those scripts, like so many scripts. And then I think we need to do a little bit of fine tuning for the coach.

52:22 - Cuan Mulligan The whole principle of this has been that we will you need to give us the raw capability of having a workshop with some outcomes and having some sort of innate ability to get curious about asking questions. We will then run that workshop multiple times and doing the reinforcement learning on it, saying good response, bad response, do this instead, do that instead. And we will do that. There isn't going to be actual human life coaching sessions that we're going to give you the script because that's not real. The real is an AI to human and that's what we need to get really good.

53:06 - Chinmay Pandya Yeah, I mean, I get you. But what I meant was in order for the coach to act a certain way. Because what happens is when you create an LLM and you can give it prompts, you can give it examples, you can give it data sources. But it will always act on the basis of how it was trained. So it will always respond in the way that the OpenAI RLM was trained.

53:45 - Chinmay Pandya And it can incorporate a certain, you know, good examples, bad examples, but when you say that this was a bad response or when you say that this was a good response, what it does is it just, it will just try to reframe its responses. It will not improve its behavior in terms of it needs to be more curious. It needs to be more...

54:10 - Cuan Mulligan You're talking about, if I say that it's not going to improve its capabilities.

54:15 - Chinmay Pandya Yeah, it's not going to improve its coaching capabilities. It's just going to improve how it's framing its sentences. So to improve its coaching ability, I need predefined coaching session scripts. And I need to train the model on that.

54:33 - Cuan Mulligan So that will create a base. We don't have those, because they'd all be proprietary, and they'd all be human to human, and they'd all be highly confidential. So we wouldn't be able to. They don't exist.

54:44 - Chinmay Pandya Yeah, no, just any, like not real. We can also create, like how you and me had a session. But there needs to be some dummy examples for how the coach needs to behave.

54:58 - Cuan Mulligan I, so this is, this is a, this is interesting and I agree with you, but I think this potentially is the problem, right? Because I mean, we could probably get books on what it means to be a good life coach or what a good coach is. We could certainly do that with that. Will that help train the agent in terms of what it means to be a coach?

55:21 - Chinmay Pandya Yeah, that can help in terms of, you know, we can fine tune the model based on the book, but the model, apart from the fine tuning, it needs examples, like live examples, like you can see the model.

55:37 - Cuan Mulligan But how can we, how can we, how can we use the model to create the text, the examples that we then correct the examples and those corrected examples then go back in.

55:51 - Cuan Mulligan Cause like, so let's say me and you have a coaching session, right. And we deem that to be good. And we have that text. There's a person I am coach personally and coach. Yeah. How is that any different to the agent coaching me? And I have a long session with them and I go in and I correct it. I now have personally and coach like, what is the difference between those two things?

56:18 - Chinmay Pandya So I'll be very descriptive now. Let's say you ask me a certain question. I'm an AI. I answer you. When you go into the admin panel and you mark it as a bad response, what the LLM gets is that the sentence framing is bad. But let's say you wanted it to behave in four ways. It only behaved in two ways. So because it did not behave the way you wanted it to behave, you cannot give any review that, oh, you should have behaved this way, you should have behaved this way. What you can only do is choose a response and mark it whether it is a good or bad response. Let's say I'm a coach, an AI coach. Let's say the way you're curious is, you ask me four questions, but the AI only asks two questions. So the good response, bad response capability is that you can choose those two responses and tell the bot whether this was a good sentence framing or you know, you can only manipulate the responses which the agent gave. But you also wanted the agent to behave in more ways which it already does. Do you get me? You wanted to incorporate more abilities than it already has.

57:50 - Chinmay Pandya So let's say you want the agent to perform. Let me stop for a second. Sorry.

57:55 - Cuan Mulligan You're way more capable than me in terms of the technology. So I'm still trying to play catch up. And I need to leave in a second. Sorry. So we may need to catch up again later today.

58:06 - Cuan Mulligan If me and you have a 10-minute coaching session, And we take the transcript of that. There will just be person A and coach having a conversation, right? Is it possible that we can create those transcripts with artificial intelligence? Forget about it. Yeah. So what I'm saying is if you give me a very basic coach capability that is having a conversation with me and I'm then going, don't ask that question, ask this question. Don't ask that. The transcript could be then used to retrain the model. So I will use the screens to get to generate a better transcript. I haven't changed the capability yet, but if we generate loads of those scripts, could that then be used to retrain the model? So that was more, that sounded like a statement, but it's actually a question.

59:00 - Chinmay Pandya Yeah, that definitely is a part of retraining the model.

59:04 - Chinmay Pandya Okay.

59:05 - Chinmay Pandya Yeah, but what I meant was, let's say you want the model to have four abilities, A, B, C and D.

59:13 - Jonas Lindberg Can you give an example of an ability? I don't quite get what you mean by abilities.

59:17 - Chinmay Pandya like being curious can be an ability asking a particular question can be an ability like let's say uh I think I'm not good at making your discussion that should happen after this meeting or between youtube because this is quite

59:34 - Jonas Lindberg an expensive meeting and this is going very much into the technical No, no, this is into the behavior part. This is into the implementation of how to get the behavior. I think we should more be discussing what the behavior should be in this meeting with everyone here, because that's a very AI-specific implementation-like question, if that makes sense.

59:59 - Chinmay Pandya Yeah, but for the implementation, you need data.

1:00:04 - Jonas Lindberg Sure, but I think it happened like in another discussion with Okun later.

1:00:12 - Cuan Mulligan It's absolutely a problem that needs fixing, 100%.

1:00:14 - Unidentified Speaker Yeah.

1:00:15 - Cuan Mulligan I just think we need to figure out how do we fix it given the fact that we do not have hundreds of coaching sessions that we have transcripts for.

1:00:21 - Unidentified Speaker Yeah.

1:00:24 - Chinmay Pandya We don't have... I mean, not hundreds, but definitely many.

1:00:28 - Cuan Mulligan We don't have... Well, put it this way, we have zero.

1:00:31 - Will Vincent Parrone Yeah.

1:00:32 - Will Vincent Parrone I think it's the chicken or egg problem. We don't have the transcripts that we needed to train the AI in order for us to... Yeah, we basically don't know where to start. But I think it could be an AI implementation problem.

1:00:53 - Will Vincent Parrone With regards to the data, what specific types of data do you need outside of transcripts?

1:00:58 - Cuan Mulligan Well, can you guys have that debate? Hopefully now we understand the concept to focus on. We need to be able to run a good coaching session. I think the coaching session is not dissimilar to a workshop. You're getting curious, you're asking questions, you're responding to those questions until you get to a sense of completeness. So you guys let me know what you need from me. I've obviously got lots more things to do on the whole habit and how all this sort of works.

1:01:28 - Jonas Lindberg But yeah.

1:01:30 - Jonas Lindberg Okay, then one thing I want to figure out at least before we end the meeting is what can we work on right now before all the LMS stuff is figured out, before all of that is taken care of because there are are still a lot of questions in the air about how this application should be developed moving forward. I think the most concrete thing we have is the onboarding session, because from how the onboarding session performs, we're going to figure out a lot of other things afterwards.

1:02:04 - Jonas Lindberg So I think that's where we should start working, which is where we need to find out the specifics, if that makes sense.

1:02:18 - Will Vincent Parrone I mean, it's not yet a marketable product, sure, since we're still refining a lot of the aspects. But at least now we're not wasting time doing nothing. I think that's a good idea.

1:02:30 - Chinmay Pandya Yeah, because a good outboarding session can define It can help the agent define the psychological aspects of the user, why he has joined the program.

1:02:52 - Unidentified Speaker Yeah.

1:02:52 - Chinmay Pandya So I think if, if the onboarding session is, you know, not accurate. Or not that the onboarding session is the complete marketable product, but the onboarding session is definitely an important part. Because if the results or the insights generated from the onboardings are not accurate, the agent is not going to be able to hold the user accountable when it needs to.

1:03:27 - Cuan Mulligan So are you guys clear? So what are you taking away from this?

1:03:36 - Jonas Lindberg What I have taken away from this in how to move forward is that we should start focusing on planning out and getting properly defined the onboarding session so that we can start on that as fast as possible.

1:03:55 - Jonas Lindberg Or not onboarding session, but onboarding day more so.

1:03:59 - Cuan Mulligan Yeah.

1:04:01 - Jonas Lindberg Yeah. To do that, yeah, I'd like a copy of that mural so that I can go into it, go through everything. You said there were quite a few workshops on the first day. Is that correct?

1:04:16 - Cuan Mulligan So I'm just getting the link to the mural.

1:04:20 - Unidentified Speaker Yeah.

1:04:23 - Cuan Mulligan I'll put it into Discord. So what did you say there about workshops?

1:04:30 - Jonas Lindberg From what I remember, when you showed us the mural, there were a few workshops that happened during the first day. Will there be a few workshops, or only the basic onboarding, getting information, then the getting to know your Y workshop?

1:04:47 - Cuan Mulligan So there's the, as part of onboarding, there is just the getting to Y workshop.

1:04:55 - Cuan Mulligan OK. That's asynchronous to the other profile bits. That could happen at different times.

1:05:03 - Cuan Mulligan But this is all pre the ADAPT program starting.

1:05:16 - Cuan Mulligan Yes.

1:05:18 - Cuan Mulligan I need to, sorry. Okay. Um, if you have any questions, which I'm sure there are tons, drop them in and I'll, I'll be back in about an hour and a half. Yeah, absolutely. All right. Thanks guys.

1:05:32 - Jonas Lindberg Yeah. Yeah. So what do you guys think?

1:05:39 - Chinmay Pandya Yeah, I still think that there needs to be a solution for weekly analysis and coaching in certain cases. I agree with that.

1:05:50 - Jonas Lindberg It's a very unclear goal to work on because it's so arbitrary and also it's over a long time span and it's very hard to develop for things that are over a long time span without having something to go root like you use as your roots and then develop from And I think really that onboarding session will be a route where we can expand from much easier than if we start working on some deep analysis. Like if you were to go to a life coach They could never do a session that they do three weeks in with someone with you, because they need to get past the onboarding phase. They need to get to know you. They need to get to know all those things. And even if you just tell them those things by text message or something, they can't do a valuable coaching session on some deep subject that you haven't onboarded onto yet, if that makes sense.

1:06:57 - Chinmay Pandya The first thing to be taken care of is the onboarding, but the weekly coaching and the behavioral analysis is something which we didn't add to this course, which needed to be added. That's what I was saying.

1:07:16 - Jonas Lindberg Yeah, I think it'll be more productive to spend time on figuring out those systems after we have the onboarding session in place, because from that point, we'll have a lot more perspective. We'll be able to see a lot more how the bot reacts just from all the information it gets from onboarding and all that.

1:07:37 - Jonas Lindberg So yeah, I don't think it's too valuable spending too many hours right now on figuring out the week-long system. Yeah, go ahead, Will.

1:07:47 - Will Vincent Parrone Will this be a final product already or we're gonna have phases as well? Like this is phase 1, after this we're gonna reiterate with phase 2, then with phase 3 and such.

1:07:58 - Jonas Lindberg For us, phase one will be the onboarding session, but HowCurrency said this phase one is the final product. So it'll be more like, I don't know, some other name, a step, first step for us will be getting the onboarding working. I think really, if we gets a good coaching day where he can use the app and it onboards him and he's engaged, that'll make him really happy. And also he can present that to investors and they can go through that onboarding step and be amazed at what an AI can get them to think about. It's really the same proposition as with IntelliAgent, where we want one coaching session, or for IntelliAgent, one workshop that really amazes the person using it for the first time so that they can get funding and we can build off of that to expand it into more workshops for IntelliAgent and for this one into multiple day ongoing coaching.

1:08:56 - Jonas Lindberg Got it. Thank you.

1:08:58 - Unidentified Speaker Anything else?

1:09:00 - Jonas Lindberg This is just my interpretation, by the way. It's from talking with Cuan and also from my development experience of how to not... What's it called? Scope... It's like...

1:09:13 - Jonas Lindberg Scope creep?

1:09:14 - Jonas Lindberg Yeah, scope creeper, exactly. To avoid scope creep. Often scope creep comes from having too wide of a task to begin with. And not having something to start off from

1:09:29 - Jonas Lindberg Are you still here?

1:09:35 - Jonas Lindberg Yeah.

1:09:38 - Jonas Lindberg Any other questions? Any other insights?

1:09:45 - Jonas Lindberg Nazif, what do you think? You've been here the entire meeting, and I haven't heard anything from you, really.

1:09:52 - Nazif Barassounon Yes.

1:09:55 - Nazif Barassounon Yeah, I get the idea about onboarding the users and getting to know their UI and make them aware of what they want to achieve to have a better iBit and a better health. I get the general idea, but the technical part, you know, how to implement the stuff is a little fuzzy to me. You know, I don't know if this is because it's really AI related. And there's also the fact that I'm so much busy with OCA.

1:10:39 - Nazif Barassounon Yeah. It's always in my mind.

1:10:42 - Nazif Barassounon So I don't know how to switch between the two.

1:10:47 - Nazif Barassounon Okay.

1:10:48 - Nazif Barassounon I think when I will be, when I will wrap up the book project, I will be more free to think about Adapt in a way that is more useful.

1:11:02 - Nazif Barassounon Yes, all good.

1:11:03 - Nazif Barassounon But I get the general idea, yeah.

1:11:08 - Jonas Lindberg Yeah, Hasnain, what do you think?

1:11:12 - Hasnain sayyed Yeah, actually, I think the onboarding session is the main part of the our project because that derives the human personality, like how the human needs to accomplish this task or achieve his goal in the future. And I was thinking like, can we add up like multiple inputs during the onboarding, like I can embed links, I can embed my certification, like I have this type of weightlifting certification, or I have also champion in this football or so it will derive like yeah the levels of the like it will derive the levels of task or exercise the user has achieved till now and the bot needs to think like yes this person has achieve this much level of experience or exercise in that particular field and we have to train or we have to make it more better or achieve it more better.

1:12:20 - Jonas Lindberg I think if you have any sort of like a certification with an exercise or sports or anything like that, this app is probably not for you, if that makes sense. Probably way past the stage. I guess it could be for like if you're a druggie, but you do sports, but I don't think that'll be the main target audience. How to gauge the level of the user will probably be mostly for the basic onboarding session, which is just asking questions like, what are your weight? How tall are you, all of those, to just get a general idea of what stage they are in, rather so than having to upload files. Because if someone has a file that contains their exercise, I think they've probably got their exercise sorted already.

1:13:11 - Unidentified Speaker Yeah.

1:13:15 - Jonas Lindberg Yeah.

1:13:18 - Jonas Lindberg I think that's probably it for the meeting, then.

1:13:23 - Jonas Lindberg Will, could you stay behind a bit? And then we can sort out your work for me. It's completely unrelated from this meeting. Oh, yeah, Chinmay, go ahead.

1:13:36 - Chinmay Pandya Yeah, I think there also needs to be a certain, you know.

1:13:45 - Chinmay Pandya You're lagging, Chinmay.

1:14:02 - Jonas Lindberg Hello?

1:14:05 - Jonas Lindberg Yeah, I don't think you're lagging anymore.

1:14:11 - Jonas Lindberg Is my voice clear?

1:14:13 - Chinmay Pandya Yes, clear now.

1:14:16 - Chinmay Pandya So what I was thinking is there needs to be a roadmap generation post-onboarding and pre-usage. Because before the user starts using the app daily, there needs to be a certain roadmap defined. And that roadmap needs to be re-evaluated every week, or the most optimal case is every three weeks. Because ideally, it takes 21 days to adopt some habits.

1:14:44 - Jonas Lindberg By the way, let's see if you can probably help us now getting more into like technicals and things that are unrelated. It's been great having you on here, though. Have a good day.

1:14:52 - Nazif Barassounon Okay, have a good day. See you guys tomorrow.

1:14:55 - Jonas Lindberg See ya. Yeah, Jemaine has a question. Have you guys ever used like an LAM, a large action model, or implemented one?

1:15:12 - Hasnain sayyed Not yet. Can you describe it more?

1:15:15 - Chinmay Pandya I can't hear you.

1:15:16 - Jonas Lindberg It has a name. If Chinmay doesn't catch what I say, could you fill in on it later in Gabby?

1:15:35 - Jonas Lindberg Has a name?

1:15:37 - Hasnain sayyed Yes. Can you derive it more like L-A-N?

1:15:42 - Jonas Lindberg Yeah, I will. Can you just describe it to Jonas later if he doesn't catch everything?

1:15:54 - Jonas Lindberg Will, can you hear me clearly or is it me that's lagging out?

1:15:57 - Hasnain sayyed No, I can hear you.

1:16:00 - Jonas Lindberg Yeah, could you describe it to Jonas later? Yeah, yeah. Yes. Okay, a large action model is a model which, or an LLM, which can perform like a set of actions to complete a task. So for example, I could tell a large action model, hey, book me a ticket to LA from San Francisco, and then it'll go on the web browser browse to the web page, find an appropriate flight and date, and basically do the entire task for you. And how it does that is basically by doing what Chen Mei describes. It creates a roadmap to get to the final destination, and then for each of those sub tasks, each of those tasks on the roadmap, it creates another like sub roadmap, how to achieve that. And that it does before trying to accomplish anything so that it's always staying on track for the like original mission. And I think we'll need to do something like that for, for ADAPT in the long term too, where Do I mean automated bookings? It's not just automated bookings. The point of an LEM is it can do anything related to browsing the internet. You can tell it any tasks and it'll create a roadmap on how to complete that task. For example, automating bookings or Thank you. Signing up for Google or anything. You just tell it to do it and it creates a plan on how to do it and then browses the web until it gets, yeah, by following step-by-step instructions which it itself created. So you have one bot that creates an outline of how to perform a task. And then another model goes through each step by step and tries to perform them. And for each large task, it generates sub-tasks as it browses through and sees the web pages. I think we'll need something like this to stay coherent with the data over a large period of time. Yeah, Hasni? Go ahead. Hasnain sayyed Yeah.

1:18:04 - Hasnain sayyed You have mentioned automated booking for the large action model. But in a technical perspective, we need to use the API for the booking website to automate that task. If I'm a human, I can generally type, I want to go from LA to India, and I can book a ticket. But for a system or for AI, it needs to have access to that particular website. So are you talking about like we have an API running at the back end?

1:18:46 - Jonas Lindberg No, I mean literally an AI model acting exactly as a human. It's literally going through moving the mouse and clicking buttons and acting as a human browsing the internet. It doesn't need any API keys or anything. The reason I'm bringing this up is just because LAMs are very good proof of concept for how to get a model to cohesively stay on one goal for a long period of time, while being distracted by lots of things. So yeah, as mentioned to an LAM, you can tell it's a complex tasks, like book a ticket, where it will have to figure out how a date picker UI works and all that. And it'll actually go through and like correctly browse the internet as if it were a human by moving a mouse and clicking buttons.

1:19:33 - Jonas Lindberg Okay.

1:19:35 - Jonas Lindberg I think the system they use to stay on track is a similar system to what we can use for that. So I think it's valuable if you and Chinmay go and take a look at some large action models, how they're implemented, how they work, and basically try to see if you can take any inspiration from those.

1:19:57 - Hasnain sayyed Yeah, sure. We will explore the large action models.

1:20:02 - Jonas Lindberg Yeah, anything else before we hop off this meeting? I'll just come to you and gather work.

1:20:12 - Hasnain sayyed Yes, sure. Chinmay, have you shown him the error that we have solved?

1:20:21 - Jonas Lindberg We can probably hop off Google Meets. Oh, yeah. Yeah, I'll see you guys on the other.

1:20:28 - Unidentified Speaker Yeah, sure.

1:20:34 - Hasnain sayyed Hello Chinmay Bhai, come to the gather. Do you want to tell him? Come.
