Meet Meeting 
Fri, Aug 23, 2024

8:40 - Unidentified Speaker Hey, Jimmy.
1:18:39 - Cuan Mulligan So you've got does not enter data. We've done it with that. If you don't enter data, you either have that.

1:18:54 - Cuan Mulligan You either have this.

1:18:58 - Unidentified Speaker You're entering good data.

1:19:02 - Cuan Mulligan You're doing it sometimes.

1:19:05 - Cuan Mulligan So this is what disengaged is.

1:19:24 - Cuan Mulligan and irregular is sometimes consuming data, sometimes entering, sometimes like that's the irregularity is somewhere in between.

1:19:45 - Cuan Mulligan Make sense?

1:19:47 - Chinmay Pandya Yeah, although still confused on the criteria for irregularity. Because if sometimes is also included in disengaged, then I think we'll have ambiguity over irregularity and disengagement.

1:20:05 - Cuan Mulligan Yeah, so irregular might be, shall we say, They've missed three days of content, or three days missed. So if either one of those is true, they become a regular, and that would cause the coaching session.

1:20:36 - Cuan Mulligan If they don't consume the content for five days, or they don't enter data for five days. Yeah, so that's five days and that's three days, something like that.

1:20:57 - Chinmay Pandya Okay, so for the user to be irregular, they have to miss three days of good data.

1:21:09 - Chinmay Pandya Not just three days of data, because that will go to disengaged.

1:21:15 - Cuan Mulligan Well, no, five days would be disengaged.

1:21:17 - Unidentified Speaker Okay.

1:21:19 - Chinmay Pandya So even if they do not enter anything for three days, they're still irregular.

1:21:25 - Unidentified Speaker I think that's it there.

1:21:29 - Unidentified Speaker Got it.

1:21:31 - Chinmay Pandya So it depends on how many days they missed, the difference between irregular and disengaged. I think so, yeah.

1:21:38 - Unidentified Speaker OK.

1:21:42 - Chinmay Pandya Got it.

1:21:48 - Cuan Mulligan Does that make sense so far?

1:21:50 - Unidentified Speaker Yep.

1:21:53 - Cuan Mulligan I'm wondering whether we pause there because I think to do another topic right now might flood the brain.

1:22:00 - Chinmay Pandya Yeah, I agree. I think we've covered a lot of topics. We've covered some notifications. The possibility of a new feature for entering previous day's check-ins or tracking items. We have covered the streaks. We have covered the check-in session. I think you'll also give more feedback on this with irregularity and disengaged and more feedback on the UX regarding the notifications and the daily flow.

1:22:34 - Unidentified Speaker Cool. Yeah.

1:22:40 - Cuan Mulligan Well, let me know if you have any questions. I'm sure that's going to digest. And you've got questions as they come up. Let me know.

1:22:45 - Chinmay Pandya Yeah, I mean, I've asked most of the questions while you were making the diagram. So I'm pretty clear. Up till here, I'm pretty clear.

1:22:56 - Unidentified Speaker Sounds good, man. Thanks. Thanks, Kevin.

1:22:59 - Chinmay Pandya It was very insightful. Cheers, buddy. Talk to you soon.

1:23:03 - Unidentified Speaker Talk to you soon.
