Meet Meeting 
Wed, Jun 19, 2024

0:01 - Cuan Mulligan Hello?
43:54 - Jonas Lindberg I think usually, if you just ask an LLM for an answer, it'll just use its predictive text modeling to come up with something plausible. But what you can do is model it with a prompt or with techniques that makes it complete the task for a step-by-step process. So if you just ask it, give me a recommendation for a stock, it'll just come up with something. But if you give it proper instructions of, doing it in a step-by-step process, then it will do it in that step-by-step process, at which point it will have already explained itself once it picks the stock, for example. But if you just ask it for an answer, it's just like a predictive text model. It just predicts what's the next likeliest word. And that will just be the answer to how it came to the question is that was the likeliest word to come next.

44:45 - Cuan Mulligan Makes sense.

44:48 - Jorge Lewis I need to grab some food.

44:50 - Arif Harbott I've got to go.

44:52 - Arif Harbott I've got a meeting in like 20 minutes. I need to grab some food.

44:55 - Arif Harbott Cheers, folks. Cheers.
