Dicussing IP in context of Reviews Sysem 
Thu, Aug 29, 2024

0:08 - Jonas Lindberg Test test.
49:00 - Jorge Lewis Like the, the project injection dependency injection thing where we have to interact with the actual projects database and stuff like that.

49:08 - Jorge Lewis Yeah.

49:09 - Jorge Lewis Yeah.

49:09 - Unidentified Speaker Okay.

49:10 - Jorge Lewis Um, Okay.

49:11 - Jonas Lindberg So basically just that, but after that, it's just copying over the chat interface, adding in the Intel agent logo instead of the logo, adding in the colors of Intel agents instead of a depth and then just exposing the chat so that they can't accidentally wander into that panel. And then we're done.

49:29 - Jorge Lewis Yep.

49:30 - Jorge Lewis Um, JP, do you have, do you use Dribbble?

49:36 - Jonathan Phillips I know of it and I probably have downloaded it or used it and registered and then not used it again. So the answer is no, but I am familiar with it.

49:47 - Unidentified Speaker Okay.

49:48 - Jorge Lewis Well, you could use a tool like that, like any platform to get inspiration. You can send, you can make a mood board on the FigJam. So we can get an idea of what you're aiming for in terms of that. The UI framework we're using is pretty rigid. It looks like very app-like, system-like UI. We can make it look a little bit towards what you're trying to get. Obviously, that will be done later in the end. But just to get an idea, I think it would be helpful.

50:16 - Jonathan Phillips Sure, sure. So originally the idea that we'd have something similar to Claude where you have your chat and then your artifacts and your documents on the right. What I want initially is forget the right hand side, no artifacts, no documents and just a window. So ultimately that's really our first, let's say our first draft, that's going to be something that we can take and people can play with and Ultimately, like chat GPT, you delete the chat. It's gone. You know, we don't want people necessarily to do anything with it. They just got to play with it and go, wow, maybe, maybe they'll copy the UVP statement at the end or whatever the output is. And then it's done.

50:58 - Jorge Lewis Yeah.

51:01 - Jorge Lewis Cool. What are your thoughts on the, just the current chat interface though?

51:06 - Jonathan Phillips There's no, there's no, no problem. It's black. I'm not a big fan of black.

51:15 - Jonathan Phillips I think that's a generational thing. I like it to be light and airy. That's my go-to.

51:26 - Jonas Lindberg Do you want plain white or do you want a slight tint of white?

51:30 - Jonathan Phillips You're going to spoil me now with a few shades, are you? That's nice. At the moment, I don't know, but what I can do is I can find some examples, some very simple examples and say, I like that. That'll do. So I can't explain it, but I know what it's like in my head, kind of

51:47 - Jorge Lewis We'll do some few shop reviews with the examples you give us.

51:53 - Jonas Lindberg Yeah.

51:54 - Jonas Lindberg Yeah. No worries. No worries.

51:57 - Unidentified Speaker Yeah.

51:58 - Jorge Lewis So should we schedule the vision and mission workshop for some time?

52:05 - Jonathan Phillips Yeah, we can do that.

52:07 - Jorge Lewis Okay, cool.

52:10 - Jorge Lewis Jonas, I'm wondering if there's anything we can start working on other than the workshop builder to try to see if we can move IntelliAgent faster.

52:23 - Jonathan Phillips So just quickly as well, I've spoken to a number of people and We've decided, or I've decided, that it's Intel-agent rather than Intelli-agent, just on the virtue that there's no I in the middle.

52:39 - Jonas Lindberg That's how we've been pronouncing it internally.

52:45 - Jonathan Phillips Because ultimately, it's Intel-agent, and that's what the whole idea is. So I'll have a word with Cuan about that, because Cuan's, I think, the prime candidate for getting it wrong.

52:59 - Jonas Lindberg I think you can switch the I and the A if you wanted to sound like a lot of tech terms, like IntelliSense, Intelli-whatever. There's a lot of words for tech, which is Intelli-something, IntelliJ, IntelliSense.

53:16 - Jonathan Phillips Yeah. Yeah. It's the AI in the middle, which is quite clever.

53:20 - Jonas Lindberg The pronunciation of intelligence is also like basically intelligent, but intelligent.

53:26 - Jonathan Phillips Well, that's the whole idea behind the brand. That was, that was my sort of purpose to try and have a clever word that just described the whole thing. And then I thought, Hey, it's got agent in as well. Isn't that clever? Oh, if I put an extra letter in, it has AI in as well. So it becomes lots of things, which is quite nice.

53:47 - Jonas Lindberg Yeah.

53:48 - Jonathan Phillips Cool. So if you, if you want, if you want to throw over any dates, times, whatever, then, then do so. And, um, we'll, we'll get on with it.

53:57 - Jorge Lewis I think, uh, what, yes. Around between what times are you free? Like nine to on a, on an average day.

54:07 - Jonathan Phillips I'm a free, I'm free all the time, unless I'm not, that makes sense. So unless I've got something scheduled in my times are just anytime.

54:16 - Jonas Lindberg I'Ve got a schedule for 9 a.m. Someday.

54:21 - Jonathan Phillips Not Sunday morning.

54:23 - Unidentified Speaker Someday.

54:27 - Jonathan Phillips That night is good for me most days. But obviously, you're the ones who we've got to sort of jig around because we're bright and breezy sort of first thing in the morning and you're getting tired. So I think it's best if you're not so tired and fired up Nine works, I think.

54:54 - Jonas Lindberg Yeah, nine on Monday, maybe.

54:57 - Jonathan Phillips Right, let me have a look. This will be a nine on Monday that I can't do. Let's have a look.

55:01 - Jonas Lindberg Yeah, or Tuesday. That also works.

55:11 - Jonathan Phillips Yeah, nine on Monday for me. So this is the second, yeah?

55:17 - Jonas Lindberg Uh, I'm guessing you're correct.

55:21 - Unidentified Speaker Yeah.

55:22 - Jorge Lewis Yeah. How many people from your side would you be bringing?

55:25 - Jorge Lewis So J.P. Cuan.

55:32 - Jorge Lewis Sorry, say again.

55:33 - Jorge Lewis How many, how many people would be there? So you J.P. So you Cuan.

55:38 - Jonathan Phillips What would be the agenda? What would you want the agenda to be?

55:43 - Jonas Lindberg The agenda is figuring out the mission statement and the vision statement and getting everyone aligned with why the idea was conceptualized and where the end goal would be.

55:54 - Jonathan Phillips So are we talking across everything or one particular area?

56:01 - Jonas Lindberg Across everything. We may run like mini versions of it for specific features that we want to get aligned on. But this is for the whole intelligence as a concept.

56:19 - Jonathan Phillips I'm just thinking if Arif needs to be involved, but we could invite him to obviously participate because he's been a bit out of the loop. But I don't think it's necessary that he's there, but it'd be nice to have him there too.

56:33 - Jonas Lindberg It's always nice to have some people in the Mission Visions workshop, because then you get everyone's input. Sometimes you realize stuff for yourself and everything. We've been starting to run it internally for our own projects, and it's been wonderful.

56:45 - Jonathan Phillips Yeah, OK. So let's try both of them. But again, they're the ones who have more formal meetings than I do, so we'll have to maybe work around that. But let's go for 9 o'clock on Monday morning. And if they have an issue, then we can maybe tweak it a little bit.

57:06 - Jonas Lindberg Could you send the meeting invite for just 9 a.m. On one of the days next week when everyone is free?

57:11 - Jonathan Phillips Yeah, yeah. Let me sort that out.

57:16 - Jorge Lewis Just a little note, I have a project idea that I... Have you heard of... Actually, this is a good question for you. Have you heard of Essence Writing?

57:24 - Jonathan Phillips Essence Writing? Yeah.

57:27 - Jorge Lewis And it was just this writing exercise to be able to distill your thoughts. I have a project idea where it helps you learn how to articulate yourself better using a chatbot, ideally a voice interaction. So I'll let you know how that goes and if I can move forward with that in any regard and we can see if we can implement that into IA or adapt to that.

57:49 - Jonathan Phillips No, I like that. I like that because I do everything dictation wise everything I do is dictated unless obviously there's people in the room where I've got a type But I think that's the future. It really is the future that I mean, we know it's the future, but it really is the future It's good to be people who don't talk now are gonna be talking.

58:08 - Jorge Lewis Do you super whisper on your phone as well?

58:11 - Jonathan Phillips I do I've started to only recently, but I've used things for years as far as dictation, like Dragon Dictate and all the old school stuff. So I like the fact that the Apple sort of devices have a built-in dictation, but it's not great. That's the problem. It's easy to use. It's just not good. Yeah, so I'm trying to integrate and the problem I have is that it doesn't always it's the active window thing So with super whisper you end up saying it and it's not in the window and you're gonna paste it

58:44 - Jorge Lewis in I know it's not a big job, but it's like Every time is all like so Because I prefer dictation as well, but just it's inconvenient with iOS Hope the I the Apple AI when it comes out should be

58:59 - Jonathan Phillips including all of that stuff I'm looking forward to what is it the announcements on the 9th the new phone and then I think about the 20th They start to release the products don't they and then they operate the new

59:11 - Jorge Lewis Operating system will come in a week or so later Maybe yeah Yeah, I think the same date as the actually I'm not sure This year might be a little bit different considering. It's pretty big. Can't on my phone and I've got 13 so I can't use user I've got the only model right now that can use it the 15 pro or 15 pro and 15 pro max That's why I'm buying a

59:34 - Jonathan Phillips 16 month But that's exciting for me the whole AI stuff on the phone is going to be hopefully It'll be a bit clunky to start with I imagine but once it gets going another app start to build into their whole frameworks It's gonna be so good Yeah.

59:54 - Jorge Lewis Cause if they're going to just improve it over time and I feel like at some point it'll be just, it's going to be super practical, practical.

1:00:03 - Jonathan Phillips It is. You're not going to have apps anymore. You just can have a device you talk to and it does it for you as just a box. And that's, that's really what we want.

1:00:12 - Jonas Lindberg Uh, remember mentioned like, uh, maybe we can just have a part of the experience in the beginning of the app, be just a little bit tutorial on how to use voice dictation, iPhone for the people that are trying it out on iPhone before we get the properly integrated.

1:00:30 - Unidentified Speaker Yeah.

1:00:31 - Jonathan Phillips There's a whole, there's a, there's a whole art and science behind it. It's not something that is pretty fundamentally straightforward talking to a device, but it's not.

1:00:44 - Jonas Lindberg Yeah. When you're writing messages into your phone to talk with the workshop compared to when you're talking and it's dictating it into text, how you speak is way different. And of course, the AI will take how you're speaking as inspiration for how it's speaking. So it can quite change how the workshop feels.

1:01:07 - Jonathan Phillips Yeah, yeah. I'm looking forward to having that element as well, because the whole idea is that it's like a human talking back to you. I know that's what AI is supposed to be, but it's not. If we can get it as near as possible, it then gives us a differentiation as well.

1:01:24 - Jonathan Phillips Yeah.

1:01:26 - Jonathan Phillips Cool. All right. Well, I'll go and try and sort some dates out, and we'll reconvene on that next week. Cool, cool.

1:01:32 - Jorge Lewis Sounds good. Thanks.

1:01:35 - Jorge Lewis Enjoy the rest of your evening. You too.

1:01:37 - Jonas Lindberg Enjoy the rest of your day.
