Adapt Feature Discussion - Milestones 
Mon, Aug 19, 2024

0:19 - Unidentified Speaker Silence.
1:05:59 - Jorge Lewis Okay.

1:06:05 - Cuan Mulligan So did you look at this section when you were looking at the daily check-ins?

1:06:10 - Cuan Mulligan Uh, no, not this one.

1:06:12 - Cuan Mulligan Okay. So have a look at that. Then it goes down into different scenarios and

1:06:17 - Jorge Lewis Down here as well?

1:06:18 - Jorge Lewis Yeah, the whole thing.

1:06:25 - Jorge Lewis But is this under the new system where we're doing a daily check-in at the end of the day?

1:06:34 - Jorge Lewis Also, is the check-in must be at the end of the day or how is that?

1:06:44 - Cuan Mulligan It's it's not like it doesn't check in at the end of the day. There's an interaction What I suggest is can you have a look at this conversation? See how you think this is relevant or not relevant because I I think this still stands, but you might feel differently Okay Sounds good then Well, I'll have to may look at his own because he's building out that one

1:07:17 - Jorge Lewis All right, cool. So yeah, we'll keep you updated then.

1:07:23 - Cuan Mulligan Cool, yeah, have a look at that and then let me know. And I appreciate you having me around as much as I would have liked to have been. I think things will settle down from Thursday this week.

1:07:32 - Cuan Mulligan From Thursday, okay, cool.

1:07:34 - Cuan Mulligan Well, I've got my son's exam results on Thursday morning, so depending how they go, my day might be a good day or a bad day. We'll see.

1:07:42 - Jorge Lewis We'll see. All right, thanks, Cuan, for your time.

1:07:48 - Hasnain sayyed But cool. Yeah.
