Meet Meeting 
Mon, Jun 17, 2024

0:37 - Unidentified Speaker Hello.
32:53 - Conference Room (Sonia Calvo) - Speaker 1 I think it would have to be every week anyway. I think we don't have a definitive answer on that, but we'll take that as... We'll have that debate and we'll come back with you an answer today on the schedule. A person can only be on one course at a time.

33:14 - Jorge Lewis One course at a time, okay. The LMS is the least speculative aspect in terms of tech. It's been done thousands of times before. It's a matter of how we want to do it.

33:24 - Jorge Lewis Yeah, we just need to let you know.

33:26 - Jorge Lewis Yep, yep. Cool. What else?

33:37 - Jorge Lewis For the, okay. So as of right now, so I mean, I was really hoping we could get it all set up today in terms of the, oh, just so you can play with that. What was the, just the whole chat bot, but sadly some of the time difference between Jonas and I didn't help.

33:59 - Jorge Lewis So what would be the next on the list that you guys would want to get up So when you do the release tomorrow, what do you think we'll be able to do?

34:09 - Conference Room (Sonia Calvo) - Speaker 1 By what function are you?

34:11 - Jorge Lewis You'll be able to do, to start a check-in, to complete the check-in, and then, yeah, doing the check-in, and then you'd be able to, for the admin use case, you'd be able to go through the user's messages, all the user's messages, and then select good or bad ones, and then manage it, manage those submissions.

34:27 - Conference Room (Sonia Calvo) - Speaker 1 And if we update the admin, will that then, if we then did another check-in, will that take the feedback? So we can see that cause and effect.

34:37 - Conference Room (Sonia Calvo) - Speaker 4 Yeah. Okay.

34:39 - Conference Room (Sonia Calvo) - Speaker 1 For me, that's a really important milestone because it allows us to start training the bot to do things. And then after that, I think onboarding.

34:50 - Jorge Lewis Today, I'm going to get started on trying to figure out some prompts to leave you guys with because it's, um, A standard prompt that you'd give like something like chat GPT is very different to what we're trying to give to these ones, because we have to give them the context of, hey, you have a team member, you know, pass it to this team member when this or this. So there's a bit of a difference in terms of that. And then also, also trying to make them uniform in terms of the persona, making sure that they abide by their, their style, tone, things like this.

35:21 - Conference Room (Sonia Calvo) - Speaker 1 So how important do we think makes lots of different personalities for the person?

35:28 - Jorge Lewis I don't think I don't think you'd notice that the actual personalities, as long as we don't tell them this is multiple bots, they like they're not going to realize it because No sorry, what I was meaning is that like,

35:41 - Conference Room (Sonia Calvo) - Speaker 1 there is some people who might prefer sort of the Arnold Schwarzenegger tone of voice like straight to the point, and others might like a more you know, uh, cheerleadery type. So there could be good work.

35:52 - Unidentified Speaker Awesome.

35:53 - Conference Room (Sonia Calvo) - Speaker 1 Yeah. Over the top like that. Some people really like that. Um, like in, in work, for example, there's something called the shit sandwich of feedback, where if you're giving people that work for you feedback, you say, Oh, you know, you did a really good job yesterday. And then you say, but you were shit yesterday. And then, Oh, I really like you. So you say something good and good. And then you give the real message in the middle personally that aggravates the living shit out of me. I can, I, it pisses me off, I know it's coming, but then even people know it's coming, like Jen, who used to work for me, she's like, no, no, if you don't give that to me, I will shut down. I will not hear the message. So I have to land it right. Even she knows that it's coming. She has to be landed into it and then she's ready. And then she has to be sort of massaged afterwards to go, yeah, it's everything's fine now. We did like, we had like 60 people working for us and was broadly 50, 50 between people who liked it and people who aggravated, really weird.

36:48 - Conference Room (Sonia Calvo) - Speaker 2 So for us, how do we?

36:52 - Conference Room (Sonia Calvo) - Speaker 1 Well, I think as part of the awarding, we could ask people like, hey, do you like direct talking? Or do you like to be cheerleaded? Or we can figure out what the dimensions are, and we can ask them on that so they can tweak it. Like there's a, in chat GPT, there's like, if you put in no yammering, The answers are really punchy. And I'm like, if I'm doing research to get all of the facts and the nicety nonsense, it just gives me all the facts. And I'm like, much easier, much easier. But if you're coaching somebody, that wouldn't be appropriate.

37:23 - Conference Room (Sonia Calvo) - Speaker 2 Yeah. Because you need the fluff.

37:26 - Conference Room (Sonia Calvo) - Speaker 1 Yeah. And again, I've had coaching clients where they at different times have wanted me to be really direct.

37:34 - Unidentified Speaker Yeah.

37:35 - Conference Room (Sonia Calvo) - Speaker 1 Because I can feel that the nice, nice approach is not moving them forward and I have to call it out.

37:39 - Conference Room (Sonia Calvo) - Speaker 2 Yeah, totally. That's why it's challenging because what I find with my clients, when I'm asked, how do you want me to be with you in a coaching corner when you're not doing something you said you were going to do?

37:51 - Conference Room (Sonia Calvo) - Speaker 1 Do you want to be correct? Do you want me to be direct?

37:54 - Conference Room (Sonia Calvo) - Speaker 2 And most people actually go, So I want you to be direct because it's in service of me. Yeah, so it's about that for me. And it's holding up the mirror what we call. It's like, do you realize you said you're going to do this, but you're doing that. So I'm just calling it out with love and compassion and want the best for you. But this is why I'm calling this out. So I think there's this terminology that we can use.

38:28 - Conference Room (Sonia Calvo) - Speaker 2 Yeah, but then, I don't know, could we have a stream of prompts which are a lot more harsher? Like, you idiot, you haven't done your walk, get up. I don't know, I might have done too much. You know, I put on overdrive. Yeah. Well, on my watch, when I haven't moved for a while, it's like, time to stand up, you know, and it's like, well done, you stood up, you know.

38:57 - Jorge Lewis Yeah, then there's the other hand.

38:58 - Conference Room (Sonia Calvo) - Speaker 2 And it's like, you haven't done what you said you're going to do. You're not going to reach a goal if you don't do this. And then when you do it, it's like, amazing. Well done, you. I can see you commit. So you can do both. It's not one or the other. Yeah.

39:14 - Conference Room (Sonia Calvo) - Speaker 3 I think you're prompted to do it and to do it.

39:18 - Unidentified Speaker Yes.

39:19 - Conference Room (Sonia Calvo) - Speaker 2 Yeah. The cheerleader. Because we all like being told that we're good or we've done something good. And we're really not.

39:27 - Jorge Lewis One of the difficult things that I can see happening is that with an in-person meeting, you can see, you can get feedback from your responses. But with this, it's going to be very hard to, like, the bot's going to say, get up, you lazy, you know, whatever. And then the user is going to say, oh, sorry, like, it's going to have no clue if he did a good job or not.

39:48 - Conference Room (Sonia Calvo) - Speaker 2 Yeah, that's the thing. When you're coaching people face to face, You pick up. It's the body language. You can see someone comes to the call and they've been crying. I'm not going to be a bitch to them. I'll be like, geez, what has happened?

40:06 - Conference Room (Sonia Calvo) - Speaker 1 I mean, if you look at chat GPT 4.0, there are the demos where it basically just goes, the guy's talking about, I'm going to go into an interview and the bot's like going, well, you know, you've mastered the getting out of bed phase, like your hair is a bit messy, you know, you need to, you know, if you're going to go to an interview. So it is there, it can now see, and it can talk. Like, how mature, I mean, because some of these things feel much better talked. And like, could we take that modality into our scope? Or is it going to be text?

40:46 - Jorge Lewis Text, uh, I'd say we'd be over, we'd, we'd be overstepping, um, trying to go directly into, into voice or, um, yeah, voice and video. It's cause it's like a step above text. You start off with text and then you go into those, skipping the text phase. We, if we skip the text phase, we might end up with something that doesn't even work as, um, like at all, like something that isn't usable.

41:13 - Conference Room (Sonia Calvo) - Speaker 1 Use the teaching of the text to go to speech later.

41:17 - Jorge Lewis Yeah, exactly. Like, for example, a problem that I can see is like we use the voice and video feature, and then the responses are just like 30 seconds to wait. Because in the video, in the demo videos, have you watched, Sonia, the demo videos from GPT 4.0? No.

41:44 - Jorge Lewis It was the guy talking to his phone, and the phone had the new GPT model. The response times, I believe, were probably between 5 to 10 seconds. Gwyn, can you hear me?

41:56 - Jorge Lewis Yeah, yeah.

41:57 - Jorge Lewis What do you say? That's about right, 5 to 10 seconds?

42:01 - Conference Room (Sonia Calvo) - Speaker 2 About 10 seconds.

42:03 - Conference Room (Sonia Calvo) - Speaker 1 Yeah, the live's not perfect.

42:07 - Jorge Lewis Yeah, but then also, since we're doing a lot of stuff behind the scenes, and as we're already seeing that it's adding some some delay to the responses, it can probably get pretty unbearable in terms of response times. We don't have to use GPT-4 as well, or for the newest model. We can use a mix of a really fast text model and then a really fast voice model, and then combine them instead of just using one.

42:36 - Jorge Lewis I hope you can hear me because I wasn't...

42:39 - Conference Room (Sonia Calvo) - Speaker 2 He's making a coffee, but he can hear you.

42:50 - Conference Room (Sonia Calvo) - Speaker 2 Thank you. Ice cream coffee. Have you made yours?

42:59 - Jorge Lewis What beans are you guys having?

43:02 - Conference Room (Sonia Calvo) - Speaker 2 Sorry? What beans? Beans.

43:08 - Conference Room (Sonia Calvo) - Speaker 2 What beans are you having? Is that notes? Yeah. Notes beans, you know notes?

43:16 - Conference Room (Sonia Calvo) - Speaker 4 Notes, no.

43:18 - Conference Room (Sonia Calvo) - Speaker 2 It's a company that, it's a coffee shop, but it also does its own beans, but I wouldn't be very prescriptive. I use an espresso machine. So it's, I like the Costa Rica ones.

43:32 - Jorge Lewis Nice. Those are good.

43:34 - Jorge Lewis Yeah.

43:37 - Jorge Lewis So you guys are in London? You guys live there or holiday?

43:43 - Conference Room (Sonia Calvo) - Speaker 2 We live in London and Lassie, Coen's sister.

43:46 - Conference Room (Sonia Calvo) - Speaker 3 I live in Dublin but I'm just over for the weekend.

43:50 - Conference Room (Sonia Calvo) - Speaker 2 Coen and I are obviously in London, then Lassie's in Dublin when we can all three meet.

44:04 - Conference Room (Sonia Calvo) - Speaker 3 In fact, online really does work very well as well.

44:07 - Conference Room (Sonia Calvo) - Speaker 2 Yeah, well, it's like working with you guys online and we think it's a little bit.

44:16 - Jorge Lewis It's we're quite lucky that my schedule is quite late because we can see, for example, Jonas's schedule doesn't align as well as my one does.

44:23 - Jorge Lewis Where's he?

44:25 - Jorge Lewis No, he's in the same place as me, but it's just he sleeps at normal people time. He wakes up at eight, goes to sleep at, you know, like 12. But I go sleep around four and wake up around Right.

44:43 - Conference Room (Sonia Calvo) - Speaker 2 We'll have a question.

44:48 - Conference Room (Sonia Calvo) - Speaker 2 He's just doing the milk. 30 seconds.

44:56 - Unidentified Speaker Or can I have...

45:07 - Conference Room (Sonia Calvo) - Speaker 1 I think the most important thing is for us to work on the onboarding.

45:10 - Conference Room (Sonia Calvo) - Speaker 2 Yeah, so we're going to work on the onboarding. And then we'll send that to you. And then do we need to do any more work on the profile? You mentioned it was maybe... That is onboarding, fine. Okay.

45:25 - Conference Room (Sonia Calvo) - Speaker 1 Yeah, the onboarding is about engaging with the user.

45:28 - Conference Room (Sonia Calvo) - Speaker 4 Setting up the profile.

45:31 - Conference Room (Sonia Calvo) - Speaker 2 Okay.

45:34 - Conference Room (Sonia Calvo) - Speaker 2 Anything else you need from us?

45:39 - Jorge Lewis I'm taking a look. I don't think so. Shouldn't be. Today I'm going to get working on the prompts and hopefully I can send it to you guys and you can start playing around with it by tomorrow. I was really hoping for it to be done today so that we could start working on the next phase.

45:55 - Conference Room (Sonia Calvo) - Speaker 1 Yeah.

45:56 - Unidentified Speaker Cool.

45:56 - Conference Room (Sonia Calvo) - Speaker 4 So that should be it.

45:57 - Conference Room (Sonia Calvo) - Speaker 1 Thanks, man.

46:00 - Jorge Lewis No worries. Thanks so much. It was lovely meeting you, Sonja and Lasse.

46:03 - Unidentified Speaker Bye.

46:06 - Conference Room (Sonia Calvo) - Speaker 4 Have a good day guys.

46:07 - Unidentified Speaker You too.
